"Title","Science attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/16"

"","FSM Boys","FSM Girls","Non-FSM Boys","Non-FSM Girls"
"Ethnicity","","","",""
"All","65","72","82","86"
"Asian","68","76","79","84"
"Bangladeshi","69","79","77","82"
"Indian","75","80","85","89"
"Pakistani","65","73","74","79"
"Asian other","69","78","80","87"
"Black","69","78","79","85"
"Black African","70","79","79","86"
"Black Caribbean","66","75","78","83"
"Black other","68","78","77","83"
"Chinese","82","83","83","88"
"Mixed","69","77","83","88"
"Mixed White/Asian","69","78","87","90"
"Mixed White/Black African","71","78","84","87"
"Mixed White/Black Caribbean","65","77","80","86"
"Mixed other","71","77","82","88"
"White","64","71","83","87"
"White British","64","71","84","88"
"White Irish","64","70","87","91"
"White Irish Traveller","40","50","47","54"
"White Gypsy/Roma","38","47","37","39"
"White other","65","68","75","79"
"Other","67","74","74","79"
