"Title","Science attainment for children aged 6 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"gender","Ethnicity","FSM","Non-FSM"
"Boys","All","66","83"
"Boys","Asian","71","79"
"Boys","Bangladeshi","71","77"
"Boys","Indian","78","86"
"Boys","Pakistani","69","75"
"Boys","Asian other","74","81"
"Boys","Black","70","79"
"Boys","Black African","71","79"
"Boys","Black Caribbean","67","78"
"Boys","Black other","69","77"
"Boys","Chinese","78","88"
"Boys","Mixed","69","84"
"Boys","Mixed White/Asian","66","87"
"Boys","Mixed White/Black African","74","82"
"Boys","Mixed White/Black Caribbean","68","81"
"Boys","Mixed other","68","84"
"Boys","White","64","84"
"Boys","White British","64","85"
"Boys","White Irish","54","88"
"Boys","White Irish Traveller","40","45"
"Boys","White Gypsy/Roma","37","36"
"Boys","White other","64","76"
"Boys","Other","68","74"
"Girls","All","72","87"
"Girls","Asian","76","86"
"Girls","Bangladeshi","77","84"
"Girls","Indian","80","91"
"Girls","Pakistani","73","81"
"Girls","Asian other","78","87"
"Girls","Black","79","86"
"Girls","Black African","80","86"
"Girls","Black Caribbean","78","85"
"Girls","Black other","76","84"
"Girls","Chinese","89","92"
"Girls","Mixed","77","89"
"Girls","Mixed White/Asian","77","91"
"Girls","Mixed White/Black African","80","89"
"Girls","Mixed White/Black Caribbean","76","87"
"Girls","Mixed other","78","89"
"Girls","White","71","88"
"Girls","White British","71","89"
"Girls","White Irish","59","89"
"Girls","White Irish Traveller","45","58"
"Girls","White Gypsy/Roma","46","39"
"Girls","White other","72","82"
"Girls","Other","71","80"
