"Title","Science attainments for children aged 6 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-01"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","82","%","641590"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","69","%","97396"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","84","%","544194"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","79","%","328246"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","65","%","50060"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","82","%","278186"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","84","%","313344"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","72","%","47336"
"Percentage of pupils reaching the key stage 1 expected standard in Science","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","86","%","266008"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","80","%","68312"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","72","%","8899"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","81","%","59413"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","77","%","34773"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","68","%","4477"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","79","%","30296"
"Percentage of pupils reaching the key stage 1 expected standard in Science","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","83","%","33539"
