"Title","Science attainment for children aged 6 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"gender","Ethnicity","%"
"Boys","All","80"
"Boys","Asian","78"
"Boys","Bangladeshi","76"
"Boys","Indian","86"
"Boys","Pakistani","74"
"Boys","Asian other","80"
"Boys","Black","77"
"Boys","Black African","77"
"Boys","Black Caribbean","76"
"Boys","Black other","75"
"Boys","Chinese","87"
"Boys","Mixed","81"
"Boys","Mixed White/Asian","84"
"Boys","Mixed White/Black African","80"
"Boys","Mixed White/Black Caribbean","78"
"Boys","Mixed other","81"
"Boys","White","81"
"Boys","White British","82"
"Boys","White Irish","83"
"Boys","White Irish Traveller","42"
"Boys","White Gypsy/Roma","36"
"Boys","White other","75"
"Boys","Other","73"
"Girls","All","85"
"Girls","Asian","84"
"Girls","Bangladeshi","83"
"Girls","Indian","90"
"Girls","Pakistani","80"
"Girls","Asian other","86"
"Girls","Black","84"
"Girls","Black African","85"
"Girls","Black Caribbean","83"
"Girls","Black other","82"
"Girls","Chinese","91"
"Girls","Mixed","87"
"Girls","Mixed White/Asian","89"
"Girls","Mixed White/Black African","87"
"Girls","Mixed White/Black Caribbean","84"
"Girls","Mixed other","87"
"Girls","White","86"
"Girls","White British","86"
"Girls","White Irish","84"
"Girls","White Irish Traveller","51"
"Girls","White Gypsy/Roma","41"
"Girls","White other","81"
"Girls","Other","78"
