"Title","Mathematics attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","72","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","72","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","72","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","75","22"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","32","2"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","28","3"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","71","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","72","21"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","66","14"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","73","20"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","78","27"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","73","23"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","73","21"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","81","30"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","68","15"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","72","20"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","76","26"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","69","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","64","12"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","71","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","67","15"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","88","43"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other - Any other","DFE","Boys","All/Boys/Girls","70","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Girls","All/Boys/Girls","74","16"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","73","16"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","74","16"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","76","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","35","2"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","30","1"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Girls","All/Boys/Girls","72","15"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Girls","All/Boys/Girls","75","17"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Girls","All/Boys/Girls","68","12"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Girls","All/Boys/Girls","75","15"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Girls","All/Boys/Girls","80","22"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Girls","All/Boys/Girls","76","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Girls","All/Boys/Girls","76","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Girls","All/Boys/Girls","84","27"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Girls","All/Boys/Girls","69","12"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Girls","All/Boys/Girls","75","17"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Girls","All/Boys/Girls","80","23"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Girls","All/Boys/Girls","74","15"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Girls","All/Boys/Girls","68","11"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Girls","All/Boys/Girls","76","17"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Girls","All/Boys/Girls","70","14"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Girls","All/Boys/Girls","89","36"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other - Any other","DFE","Girls","All/Boys/Girls","70","15"
