"Title","Mathematics attainments for children aged 5 to 7 by ethnicity,  gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominators","Breakdown"
"All","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","56","%","50,061","FSM Boys"
"White","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","54","%","34,987","FSM Boys"
"White - British","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","54","%","32,699","FSM Boys"
"White - Irish","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","50","%","130","FSM Boys"
"White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","32","%","197","FSM Boys"
"White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","26","%","368","FSM Boys"
"White - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","61","%","1,593","FSM Boys"
"Mixed","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","60","%","4,120","FSM Boys"
"Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","57","%","1,501","FSM Boys"
"Mixed - White and Black African","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","62","%","608","FSM Boys"
"Mixed - White and Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","61","%","682","FSM Boys"
"Mixed - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","64","%","1,329","FSM Boys"
"Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","64","%","4,477","FSM Boys"
"Asian - Indian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","464","FSM Boys"
"Asian - Pakistani","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","60","%","2,330","FSM Boys"
"Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","65","%","1,023","FSM Boys"
"Asian - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","68","%","660","FSM Boys"
"Black","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","61","%","4,686","FSM Boys"
"Black - Caribbean","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","55","%","969","FSM Boys"
"Black - African","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","63","%","3,028","FSM Boys"
"Black - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","58","%","689","FSM Boys"
