"Title","Mathematics attainments for children aged 5 to 7 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","All","All/Boys/Girls","73","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","All","All/Boys/Girls","73","17"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","73","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","75","20"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","33","2"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","29","2"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","71","17"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","74","19"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","67","13"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","74","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","79","25"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","75","21"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","75","20"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","82","29"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","69","14"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","73","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","78","24"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","71","16"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","66","12"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","74","18"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","68","14"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","88","40"
"% of pupils reaching the key stage 1 expected standard in mathematics by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other","DFE","All","All/Boys/Girls","70","16"
