"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and sex"
"Location"," England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Higher","Scaled score"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","All - England's average","ONS 18+1","Boys","68","11","-0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White","ONS 18+1","Boys","67","11","-1.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - British","ONS 18+1","Boys","68","11","-1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish","ONS 18+1","Boys","72","15","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish Traveller","ONS 18+1","Boys","25","","-2.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","Boys","22","","-1.7"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Any other","ONS 18+1","Boys","62","10","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed / Multiple ethnic groups","ONS 18+1","Boys","70","12","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - Caribbean","ONS 18+1","Boys","64","8","-1.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Black - African","ONS 18+1","Boys","69","12","-0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - White and Asian","ONS 18+1","Boys","75","16","-0.2"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Mixed - Any other ","ONS 18+1","Boys","71","13","-0.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian / Asian British","ONS 18+1","Boys","72","12","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Indian","ONS 18+1","Boys","77","17","0.4"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Pakistani","ONS 18+1","Boys","67","8","0.1"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","Boys","75","12","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Asian - Any other","ONS 18+1","Boys","74","15","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black / African / Caribbean / Black British","ONS 18+1","Boys","69","10","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Caribbean","ONS 18+1","Boys","63","7","-0.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - African","ONS 18+1","Boys","72","12","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Black - Any other ","ONS 18+1","Boys","66","9","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Chinese","ONS 18+1","Boys","79","21","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","Other - Any other","ONS 18+1","Boys","66","10","0.9"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","unclassified","ONS 18+1","Boys","55","8",""
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","All - England's average","ONS 18+1","Girls","81","19","0.8"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White","ONS 18+1","Girls","80","19","0.6"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - British","ONS 18+1","Girls","81","19","0.5"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish","ONS 18+1","Girls","85","27","1.3"
"% of pupils reaching the expected standard in writing by ethnicity and gender","England","All","E92000001","White - Irish Traveller","ONS 18+1","Girls","46","","0.2"
