"Title","Reading, writing and maths standards for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/2016"
"Data source","Key stage 2 Attainment and Progress Data"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","All","ONS 18+1","All","All/Male/Female","53","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White","ONS 5+1","All","All/Male/Female","53","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","All","All/Male/Female","54","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","All","All/Male/Female","62","10"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","All","All/Male/Female","19",""
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","All","All/Male/Female","13",""
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","All","All/Male/Female","48","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed","ONS 5+1","All","All/Male/Female","56","7"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","All","All/Male/Female","48","3"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","All","All/Male/Female","54","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","All","All/Male/Female","63","10"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","All","All/Male/Female","57","8"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian","ONS 5+1","All","All/Male/Female","55","6"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","ONS 18+1","All","All/Male/Female","65","10"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","ONS 18+1","All","All/Male/Female","47","3"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","All","All/Male/Female","56","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","ONS 18+1","All","All/Male/Female","61","9"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","All","All/Male/Female","51","4"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","ONS 18+1","All","All/Male/Female","43","2"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black - African","ONS 18+1","All","All/Male/Female","54","5"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","ONS 18+1","All","All/Male/Female","48","3"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","All","All/Male/Female","71","18"
"% of pupils reaching the expected standard in reading, writing and mathematics","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Male/Female","50","5"
