"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Year","Region","Local Authority","Ethnicity","Value"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","White","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","White","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","White","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","White","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","White","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","White","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","White","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","White","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","White","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","White","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","White","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","White","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","White","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","White","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","White","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","White","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","White","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","White","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","White","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","White","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","White","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","White","79"
