"Title","Children meeting the expected standard in reading at key stage 2 (ages 7 to 11) by ethnicity and sex"
"Location","England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard","Average scaled score","Progress score"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","ONS 18+1","Boys","All/Boys/Girls","62","16","102","-0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","ONS 5+1","Boys","All/Boys/Girls","63","17","102","-0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","Boys","All/Boys/Girls","64","17","102","-0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","Boys","All/Boys/Girls","72","27","104","1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","Boys","All/Boys/Girls","26","3","95","-2.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","Boys","All/Boys/Girls","19","2","94","-1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","Boys","All/Boys/Girls","54","14","101","0.8"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","ONS 5+1","Boys","All/Boys/Girls","64","17","102","-0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","Boys","All/Boys/Girls","58","11","101","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","Boys","All/Boys/Girls","62","15","102","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","Boys","All/Boys/Girls","70","23","104","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","Boys","All/Boys/Girls","65","19","103","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","ONS 5+1","Boys","All/Boys/Girls","59","14","101","-0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","ONS 18+1","Boys","All/Boys/Girls","67","19","103","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","ONS 18+1","Boys","All/Boys/Girls","52","9","100","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","Boys","All/Boys/Girls","61","12","101","0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","ONS 18+1","Boys","All/Boys/Girls","64","18","102","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","Boys","All/Boys/Girls","58","11","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","ONS 18+1","Boys","All/Boys/Girls","53","8","100","-0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","ONS 18+1","Boys","All/Boys/Girls","60","12","101","0"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","ONS 18+1","Boys","All/Boys/Girls","56","9","100","-0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","Boys","All/Boys/Girls","71","29","104","0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","Boys","All/Boys/Girls","54","11","100","0.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","ONS 18+1","Boys","All/Boys/Girls","52","14","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","ONS 18+1","Girls","All/Boys/Girls","70","22","103","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","ONS 5+1","Girls","All/Boys/Girls","71","22","104","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","Girls","All/Boys/Girls","72","23","104","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","Girls","All/Boys/Girls","82","36","107","2.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","Girls","All/Boys/Girls","31","6","97","-1.1"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","Girls","All/Boys/Girls","23","3","95","-1.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","Girls","All/Boys/Girls","60","19","102","1.7"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","ONS 5+1","Girls","All/Boys/Girls","73","24","104","0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","Girls","All/Boys/Girls","70","18","103","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","Girls","All/Boys/Girls","72","21","104","1.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","Girls","All/Boys/Girls","78","30","105","1.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","Girls","All/Boys/Girls","74","27","105","1.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","ONS 5+1","Girls","All/Boys/Girls","67","18","103","0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","ONS 18+1","Girls","All/Boys/Girls","75","25","105","0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","ONS 18+1","Girls","All/Boys/Girls","60","13","101","-0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","Girls","All/Boys/Girls","68","17","103","0.5"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","ONS 18+1","Girls","All/Boys/Girls","70","22","104","0.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","Girls","All/Boys/Girls","66","15","102","0.4"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","ONS 18+1","Girls","All/Boys/Girls","63","13","101","-0.2"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","ONS 18+1","Girls","All/Boys/Girls","68","17","103","0.6"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","ONS 18+1","Girls","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","Girls","All/Boys/Girls","79","36","106","1.8"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","Girls","All/Boys/Girls","62","15","102","0.9"
"% of pupils reaching the expected standard in reading by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","ONS 18+1","Girls","All/Boys/Girls","58","19","103","0.7"
