"Title","Persistent absence by ethnicity and local authority"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","9.5","4.0","4.4","13.9","15.0","9.2"
"Barnet","7.3","8.8","2.9","11.2","9.4","9.8"
"Barnsley","11.3","4.2","0.0","9.2","12.7","12.1"
"Bath and North East Somerset","11.7","22.1","5.2","15.2","10.7","13.6"
"Bedford","11.5","5.4","!","12.3","9.5","7.5"
"Bexley","4.5","2.5","1.3","9.3","11.4","8.0"
"Birmingham","11.8","8.3","4.1","14.6","13.5","10.4"
"Blackburn with Darwen","9.4","6.5","!","11.8","13.0","17.8"
"Blackpool","6.5","10.9","!","14.9","12.6","!"
"Bolton","7.6","4.5","4.8","13.2","11.6","16.1"
"Bournemouth","5.8","6.9","6.1","11.1","10.7","8.9"
"Bracknell Forest","5.3","3.9","0.0","8.3","8.7","4.4"
"Bradford","10.9","5.5","!","17.5","14.1","15.7"
"Brent","7.7","10.6","4.6","11.6","10.8","11.1"
"Brighton and Hove","12.5","8.6","3.2","12.9","11.0","10.9"
"Bristol, City of","15.6","13.5","5.3","16.3","14.0","15.1"
"Bromley","7.9","7.0","4.4","10.7","9.8","9.6"
"Buckinghamshire","13.5","8.6","5.3","12.7","10.2","9.5"
"Bury","12.0","6.1","3.3","9.6","8.9","12.0"
"Calderdale","8.4","4.3","!","10.6","8.8","14.5"
"Cambridgeshire","11.4","7.4","4.8","9.7","9.0","10.8"
"Camden","14.4","8.2","!","14.2","12.9","10.9"
"Central Bedfordshire","10.0","7.5","2.9","12.1","10.0","14.0"
"Cheshire East","9.9","6.8","2.0","10.5","8.8","15.5"
"Cheshire West and Chester","11.5","6.5","!","10.7","10.2","7.9"
"City of London","5.0","0.0","!","!","!","!"
"Cornwall","11.4","4.8","5.7","11.4","10.9","20.5"
"Coventry","7.1","3.9","5.6","14.2","12.0","9.1"
"Croydon","10.1","7.7","2.4","12.1","12.1","10.5"
"Cumbria","10.9","14.1","6.7","10.8","10.6","15.1"
"Darlington","10.6","!","7.7","12.4","12.7","6.8"
"Derby","9.6","6.2","!","17.0","13.3","13.4"
"Derbyshire","9.1","10.2","1.8","11.8","9.2","11.8"
"Devon","7.0","4.2","4.2","10.8","8.8","10.0"
"Doncaster","10.9","8.0","2.0","13.5","13.9","15.8"
"Dorset","9.9","10.1","3.5","8.2","10.9","18.0"
"Dudley","10.6","7.4","7.2","15.1","11.1","10.7"
"Durham","10.5","5.3","7.0","10.2","11.0","15.2"
"Ealing","8.7","9.2","2.0","11.9","10.8","8.9"
"East Riding of Yorkshire","9.0","!","10.0","9.3","9.1","4.9"
"East Sussex","9.8","7.4","!","13.3","12.3","13.5"
"Enfield","10.2","9.0","2.6","12.6","13.2","9.8"
"Essex","8.6","4.4","4.0","10.1","9.6","7.9"
"Gateshead","9.3","3.6","6.5","6.4","10.1","10.2"
"Gloucestershire","9.2","7.5","3.1","13.3","10.2","12.5"
"Greenwich","7.0","4.6","2.0","12.1","13.1","6.1"
"Hackney","9.5","6.9","2.9","12.5","9.5","7.9"
"Halton","14.3","25.0","0.0","10.6","11.6","0.0"
"Hammersmith and Fulham","10.7","9.2","!","13.9","11.1","10.2"
"Hampshire","5.8","4.4","4.1","9.1","8.8","8.0"
"Haringey","11.3","8.5","2.7","12.6","11.2","9.7"
"Harrow","6.6","10.0","3.4","11.9","10.7","10.4"
"Hartlepool","10.0","8.5","0.0","9.4","11.9","20.0"
"Havering","9.6","5.5","2.5","12.9","12.0","10.1"
"Herefordshire","11.0","!","!","8.4","9.4","!"
"Hertfordshire","8.9","5.0","3.4","10.7","9.6","10.0"
"Hillingdon","7.9","8.6","4.3","9.8","14.2","7.1"
"Hounslow","6.6","7.1","!","11.1","12.4","5.9"
"Isle of Wight","11.1","11.1","!","10.4","11.7","15.6"
"Isles of Scilly","!","!","!","0.0","6.0","!"
"Islington","10.1","7.0","!","11.9","12.9","7.6"
"Kensington and Chelsea","10.1","6.5","7.5","10.6","10.1","8.0"
"Kent","6.3","4.4","3.9","10.4","11.8","9.3"
"Kingston upon Hull, City of","9.5","3.3","!","10.8","12.0","13.5"
"Kingston upon Thames","7.4","8.7","1.5","7.9","8.5","6.2"
"Kirklees","12.4","9.1","1.9","14.1","8.9","11.0"
"Knowsley","4.7","7.7","!","14.5","15.1","10.8"
"Lambeth","10.2","8.4","2.5","12.6","9.8","11.1"
"Lancashire","10.7","8.2","2.7","10.3","9.4","10.6"
"Leeds","12.1","5.1","2.2","14.3","11.4","11.6"
"Leicester","8.0","7.0","2.6","16.5","17.1","10.6"
"Leicestershire","6.1","5.2","3.0","10.3","9.3","8.1"
"Lewisham","8.4","9.1","2.0","12.3","12.8","10.2"
"Lincolnshire","8.4","7.0","1.9","10.9","10.8","9.7"
"Liverpool","7.7","8.0","2.6","15.9","15.0","10.9"
"Luton","11.7","7.1","3.5","14.1","14.3","10.4"
"Manchester","9.2","5.0","2.8","12.8","13.4","9.4"
"Medway","7.6","4.0","2.8","12.2","12.5","8.8"
"Merton","7.8","5.9","2.0","9.2","10.4","6.3"
"Middlesbrough","10.7","4.5","!","15.2","16.1","13.6"
"Milton Keynes","10.0","5.0","2.2","11.5","11.5","10.0"
"Newcastle upon Tyne","9.4","4.8","1.8","10.0","12.9","11.0"
"Newham","9.9","6.4","1.7","13.0","16.0","8.6"
"Norfolk","10.8","5.2","3.1","12.5","10.9","8.8"
"North East Lincolnshire","9.5","0.0","!","12.2","11.3","9.4"
"North Lincolnshire","9.4","8.7","0.0","8.7","9.4","18.7"
"North Somerset","11.9","9.9","5.3","11.4","10.4","6.3"
"North Tyneside","12.2","2.7","4.0","8.6","9.7","15.7"
"North Yorkshire","10.9","8.3","6.8","9.8","9.5","10.4"
"Northamptonshire","8.5","5.6","3.3","11.7","10.6","8.5"
"Northumberland","10.6","!","!","13.4","10.1","12.9"
