"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","All - England","Country","E92000001","All pupils","All pupils","40"," 537,808 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","42"," 4,979 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","38"," 1,139 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","41"," 1,913 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36"," 1,068 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20"," 1,464 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","36"," 2,393 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","38"," 1,945 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","32"," 3,198 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29"," 1,620 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","35"," 1,535 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40"," 1,994 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","37"," 2,828 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","35"," 1,754 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","19"," 1,331 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","33"," 3,240 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","48"," 2,060 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","39"," 3,740 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","47"," 3,443 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","37"," 5,134 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","58"," 1,373 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","24"," 1,147 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","33"," 12,106 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","40"," 4,611 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","36"," 4,715 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","25"," 2,920 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","26"," 2,315 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","46"," 2,084 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","43"," 3,076 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","37"," 1,767 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","46"," 2,816 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","31"," 2,493 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","47"," 2,758 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","38"," 2,365 ","NA","NA",""
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","34"," 3,407 ","NA","NA",""
