"Title","EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM"," Value "," Denominator ","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Percentage entering the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","All other "," 36 "," 190,070 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 35 "," 177,753 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 47 "," 768 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 12 "," 26 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 5 "," 377 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 42 "," 11,146 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","All other "," 41 "," 9,414 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 31 "," 2,798 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 40 "," 1,079 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 48 "," 2,180 ","NA","NA","","Boys all other "
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All other "," 44 "," 3,357 ","NA","NA","","Boys all other "
