"Title","EBacc achievement by ethnicity and type of school"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","24","414528","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","27","22465","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","32","50515","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","23","27407","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","52","2008","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","22","145402","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","24","8130","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","27","21499","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","22","11496","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","47","591","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Academies and free schools","25","268711","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Academies and free schools","29","14288","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Academies and free schools","35","28983","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Academies and free schools","24","15874","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Academies and free schools","55","1416","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sponsored academies","13","64925","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sponsored academies","18","3759","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sponsored academies","22","7419","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sponsored academies","20","6173","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sponsored academies","40","277","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Converter academies","29","200260","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Converter academies","34","10292","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Converter academies","40","20958","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Converter academies","28","9482","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Converter academies","59","1127","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Free schools","21","1187","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Free schools","25","79","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Free schools","45","411","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Free schools","10","60","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Free schools","38","8","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","University technical colleges","3","1412","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","University technical colleges","x","108","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","University technical colleges","x","125","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","University technical colleges","x","130","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","University technical colleges","x","x","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Studio schools","2","927","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Studio schools","x","50","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Studio schools","x","70","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Studio schools","x","29","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Studio schools","x","x","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","8235","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","403","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","703","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","517","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools","x","18","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools","24","422763","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools","27","22868","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools","31","51218","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools","23","27924","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools","52","2026","NA","NA",""
