"Title","EBacc entry by ethnicity"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval"
"Percentage entering the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","38"," 422,763 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","38"," 395,316 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","50"," 1,774 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","12"," 122 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","5"," 1,107 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","45"," 24,444 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","42"," 22,868 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","33"," 7,160 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","42"," 2,687 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","50"," 5,089 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","46"," 7,932 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","47"," 51,218 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","56"," 14,046 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","39"," 20,434 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","46"," 8,319 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","53"," 8,419 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","43"," 27,924 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","36"," 7,216 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","47"," 17,349 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","40"," 3,359 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All pupils","All other pupils","63"," 2,026 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","49"," 8,119 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","All pupils","All other pupils","34"," 5,771 ","NA"
"Percentage entering the English Baccalaureate","2016","Academic year","All - England","All pupils","England","Country","E92000001","All pupils","All other pupils","40"," 540,689 ","NA"
