"Title","EBacc entry by ethnicity, type of faith school and gender"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Boys-Notes","Girls-Value","Girls-Denominator","Girls-Notes"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No religious character","38","343946","NA","NA","","33","174264","","43","169682",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No religious character","42","17889","NA","NA","","37","8942","","48","8947",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No religious character","47","43374","NA","NA","","41","22332","","54","21042",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No religious character","43","19147","NA","NA","","35","9576","","50","9571",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No religious character","64","1641","NA","NA","","57","843","","71","798",""
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Church of England schools","41","22465","NA","NA","","37","11327","","45","11138",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Church of England schools","45","1361","NA","NA","","41","700","","48","661",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Church of England schools","49","2058","NA","NA","","46","1212","","53","846",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Church of England schools","47","2402","NA","NA","","41","1157","","54","1245",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Church of England schools","65","141","NA","NA","","64","72","","67","69",""
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","44","38676","NA","NA","","38","18915","","49","19761",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","46","2634","NA","NA","","41","1273","","50","1361",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","47","3435","NA","NA","","40","1818","","55","1617",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","48","5100","NA","NA","","43","2374","","52","2726",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","57","157","NA","NA","","44","68","","67","89",""
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","39","8522","NA","NA","","36","4411","","43","4111",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","45","544","NA","NA","","44","305","","46","239",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","52","837","NA","NA","","48","480","","57","357",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","36","711","NA","NA","","31","406","","44","305",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Other Christian faith schools","61","67","NA","NA","","49","37","","77","30",""
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Jewish schools","46","918","NA","NA","","50","422","","43","496",""
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Jewish schools","48","27","NA","NA","","50","12","","47","15",""
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Jewish schools","60","37","NA","NA","","55","20","","65","17",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Jewish schools","69","13","NA","NA","","x","7","Suppressed","x","6","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Jewish schools","x","x","NA","NA","Suppressed","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Muslim schools","x","x","NA","NA","Suppressed",".","0","Not applicable","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Muslim schools","56","9","NA","NA","","x","x","Suppressed","x","x","Suppressed"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Muslim schools","69","614","NA","NA","","60","149","","73","465",""
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Muslim schools","59","34","NA","NA","","60","10","","58","24",""
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Muslim schools",".","0","NA","NA","Not applicable",".","0","Not applicable",".","0","Not applicable"
