"Title"," EBacc achievement by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Notes","Girls-Value","Girls-Denominator","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","England","Country","E92000001","All pupils","All pupils","25","537808","NA","NA","","20","273890","","30","263918",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4979","NA","NA","","20","2492","","30","2487",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1139","NA","NA","","19","591","","29","548",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1913","NA","NA","","21","1009","","30","904",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1068","NA","NA","","9","523","","20","545",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","11","1464","NA","NA","","7","711","","14","753",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","24","2393","NA","NA","","19","1216","","29","1177",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","26","1945","NA","NA","","21","995","","30","950",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3198","NA","NA","","14","1639","","24","1559",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1620","NA","NA","","15","828","","24","792",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","21","1535","NA","NA","","15","748","","26","787",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26","1994","NA","NA","","20","1066","","33","928",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","21","2828","NA","NA","","14","1463","","29","1365",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","25","1754","NA","NA","","19","897","","30","857",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","9","1331","NA","NA","","7","657","","12","674",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","20","3240","NA","NA","","15","1718","","26","1522",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","27","2060","NA","NA","","22","1057","","32","1003",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","27","3740","NA","NA","","19","1851","","34","1889",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30","3443","NA","NA","","25","1744","","36","1699",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","22","5134","NA","NA","","17","2614","","29","2520",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","33","1373","NA","NA","","29","695","","36","678",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","11","1147","NA","NA","","9","603","","13","544",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","22","12106","NA","NA","","17","6240","","27","5866",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","23","4611","NA","NA","","20","2307","","27","2304",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","19","4715","NA","NA","","13","2405","","26","2310",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","16","2920","NA","NA","","11","1495","","21","1425",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","16","2315","NA","NA","","12","1184","","21","1131",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","20","2084","NA","NA","","17","1015","","24","1069",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","25","3076","NA","NA","","18","1557","","32","1519",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","20","1767","NA","NA","","16","906","","24","861",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","30","2816","NA","NA","","26","1417","","35","1399",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","19","2493","NA","NA","","14","1265","","24","1228",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","37","2758","NA","NA","","31","1395","","42","1363",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","24","2365","NA","NA","","20","1224","","27","1141",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","22","3407","NA","NA","","17","1728","","28","1679",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","35","3402","NA","NA","","31","1597","","38","1805",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","18","2088","NA","NA","","14","1048","","22","1040",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","17","5859","NA","NA","","12","2923","","23","2936",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","25","2524","NA","NA","","20","1295","","29","1229",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","16","3026","NA","NA","","11","1535","","21","1491",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","22","3346","NA","NA","","15","1673","","28","1673",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","20","2255","NA","NA","","19","1119","","21","1136",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","22","4534","NA","NA","","16","2257","","28","2277",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","23","7483","NA","NA","","18","3854","","29","3629",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","17","1596","NA","NA","","13","799","","22","797",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","19","1856","NA","NA","","15","955","","23","901",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","29","6188","NA","NA","","23","3226","","36","2962",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","20","3335","NA","NA","","14","1656","","26","1679",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","22","5242","NA","NA","","17","2725","","27","2517",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","20","3645","NA","NA","","13","1887","","26","1758",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","York","Local Authority","E06000014","All pupils","All pupils","35","1585","NA","NA","","28","808","","42","777",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","20","2787","NA","NA","","15","1410","","25","1377",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","19","7628","NA","NA","","14","3837","","24","3791",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","19","3409","NA","NA","","15","1775","","24","1634",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","19","7017","NA","NA","","14","3606","","24","3411",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","28","7807","NA","NA","","23","3987","","33","3820",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","22","7650","NA","NA","","18","3946","","27","3704",""
