"Title","EBacc entry by ethnicity, special education needs (SEN) and gender"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","SEN","Value","Denominator","Boys - Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No identified SEN","43","359608","39","175039","47","184569"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All SEN","11","63150","9","40314","14","22836"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN Support","14","46589","12","28116","16","18473"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","4","16561","4","12198","4","4363"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No identified SEN","47","19394","43","9340","51","10054"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All SEN","15","3474","13","2195","18","1279"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN Support","18","2625","16","1543","20","1082"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","5","849","5","652","5","197"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No identified SEN","51","45478","45","23063","57","22415"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All SEN","16","5740","13","3496","19","2244"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN Support","19","4302","16","2556","23","1746"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","6","1438","5","940","6","498"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No identified SEN","48","23590","41","11183","54","12407"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All SEN","17","4333","13","2728","22","1605"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN Support","20","3281","x","1959","x","1322"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","5","1052","x","769","x","283"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No identified SEN","66","1899","59","954","72","945"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All SEN","21","126","18","78","25","48"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN Support","21","86","x","48","x","38"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","20","40","x","30","x","10"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No identified SEN","45","461072","40","225149","49","235923"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All SEN","12","78682","10","49977","15","28705"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN Support","15","58279","13","35056","18","23223"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","4","20403","4","14921","4","5482"
