"Title","EBacc achievement by ethnicity"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","24","422763","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","23","395316","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","35","1774","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","3","122","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","1","1107","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","28","24444","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","27","22868","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","18","7160","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","26","2687","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","35","5089","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","30","7932","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","31","51218","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","41","14046","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","22","20434","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","29","8319","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","38","8419","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","23","27924","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","16","7216","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","26","17349","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","20","3359","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","All pupils","All pupils","52","2026","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","31","8119","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Unclassified","18+1 (Minor)","England","Country","E92000001","All pupils","All pupils","21","5771","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","All pupils","England","Country","E92000001","All pupils","All pupils","25","540689","NA","NA",""
