"Title","EBacc achievement by ethnicity, gender and basis for school admission"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Admissions basis","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Denominator","Girls-Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Selective schools","74","16228","NA","NA","","71","7979","77","8249"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Selective schools","80","1106","NA","NA","","77","570","83","536"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Selective schools","80","3637","NA","NA","","74","1951","85","1686"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Selective schools","79","693","NA","NA","","73","315","84","378"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Selective schools","84","375","NA","NA","","80","182","88","193"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","14","29804","NA","NA","","10","15007","18","14797"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","15","1225","NA","NA","","10","617","20","608"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","19","1784","NA","NA","","13","952","26","832"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","21","1176","NA","NA","","11","588","31","588"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","25","97","NA","NA","","29","56","20","41"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","23","368496","NA","NA","","18","186353","28","182143"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","25","20134","NA","NA","","20","10046","30","10088"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","28","45094","NA","NA","","22","23195","36","21899"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","22","25538","NA","NA","","16","12627","28","12911"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","47","1536","NA","NA","","37","783","56","753"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","24","414528","NA","NA","","19","209339","29","205189"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","27","22465","NA","NA","","22","11233","32","11232"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","32","50515","NA","NA","","25","26098","39","24417"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","23","27407","NA","NA","","17","13530","30","13877"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","52","2008","NA","NA","","44","1021","61","987"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Selective schools","76","22512","NA","NA","","72","11235","79","11277"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","14","34658","NA","NA","","10","17529","19","17129"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","24","472525","NA","NA","","18","239061","29","233464"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","25","530580","NA","NA","","20","268280","30","262300 "
