"Title","A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission"
"Location","England"
"Time period","2015/16"
"Data source","[Key stage 4 attainment data](https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Admissions basis","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," GirlsDenominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Selective schools","99"," 16,228 ","NA","NA","","98"," 7,979 ","","99"," 8,249 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Selective schools","99"," 1,106 ","NA","NA","","98"," 570 ","","99"," 536 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Selective schools","99"," 3,637 ","NA","NA","","99"," 1,951 ","","100"," 1,686 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Selective schools","x"," 693 ","NA","NA","Suppressed","x"," 315 ","Suppressed","x"," 378 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Selective schools","x"," 375 ","NA","NA","Suppressed","x"," 182 ","Suppressed","x"," 193 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","55"," 29,804 ","NA","NA","","51"," 15,007 ","","58"," 14,797 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","57"," 1,225 ","NA","NA","","54"," 617 ","","59"," 608 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","63"," 1,784 ","NA","NA","","57"," 952 ","","70"," 832 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","61"," 1,176 ","NA","NA","","53"," 588 ","","69"," 588 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","74"," 97 ","NA","NA","","66"," 56 ","","85"," 41 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","63"," 368,496 ","NA","NA","","60"," 186,353 ","","67"," 182,143 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","62"," 20,134 ","NA","NA","","58"," 10,046 ","","66"," 10,088 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","66"," 45,094 ","NA","NA","","63"," 23,195 ","","69"," 21,899 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","59"," 25,538 ","NA","NA","","54"," 12,627 ","","64"," 12,911 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","80"," 1,536 ","NA","NA","","75"," 783 ","","86"," 753 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64"," 414,528 ","NA","NA","","61"," 209,339 ","","68"," 205,189 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64"," 22,465 ","NA","NA","","60"," 11,233 ","","67"," 11,232 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","68"," 50,515 ","NA","NA","","65"," 26,098 ","","71"," 24,417 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","60"," 27,407 ","NA","NA","","55"," 13,530 ","","66"," 13,877 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","84"," 2,008 ","NA","NA","","79"," 1,021 ","","89"," 987 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Selective schools","99"," 22,512 ","NA","NA","","99"," 11,235 ","","99"," 11,277 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","55"," 34,658 ","NA","NA","","51"," 17,529 ","","59"," 17,129 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","63"," 472,525 ","NA","NA","","60"," 239,061 ","","67"," 233,464 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64"," 530,580 ","NA","NA","","61"," 268,280 ","","68"," 262,300 ",""
