"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, basis for school admission and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Admissions basis","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Selective schools","68","16228","NA","NA","","68","7979","69","8249"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Selective schools","70","1106","NA","NA","","69","570","71","536"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Selective schools","71","3637","NA","NA","","71","1951","72","1686"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Selective schools","69","693","NA","NA","","69","315","70","378"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Selective schools","73","375","NA","NA","","72","182","74","193"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","47","29804","NA","NA","","45","15007","48","14797"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","48","1225","NA","NA","","46","617","50","608"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","50","1784","NA","NA","","47","952","53","832"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","50","1176","NA","NA","","46","588","53","588"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","57","97","NA","NA","","56","56","58","41"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","50","368496","NA","NA","","48","186353","52","182143"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","51","20134","NA","NA","","48","10046","53","10088"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","52","45094","NA","NA","","50","23195","54","21899"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","49","25538","NA","NA","","46","12627","52","12911"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","61","1536","NA","NA","","58","783","63","753"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","414528","NA","NA","","49","209339","53","205189"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","22465","NA","NA","","49","11233","53","11232"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","53","50515","NA","NA","","51","26098","55","24417"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","50","27407","NA","NA","","47","13530","52","13877"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008","NA","NA","","61","1021","65","987"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Selective schools","69","22512","NA","NA","","68","11235","70","11277"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","47","34658","NA","NA","","45","17529","49","17129"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","50","472525","NA","NA","","48","239061","52","233464"
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","530580","NA","NA","","49","268280","53","262300"
