"Title","A* to C in English and Maths GCSE by ethnicity and school type"
"Location","England"
"Time period","2015/16"
"Data source","[Key stage 4 attainment data](https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type"," Value "," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 64 "," 414,528 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 64 "," 22,465 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 68 "," 50,515 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 60 "," 27,407 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools"," 84 "," 2,008 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 62 "," 145,402 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 60 "," 8,130 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 65 "," 21,499 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 58 "," 11,496 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools"," 79 "," 591 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 65 "," 268,711 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 66 "," 14,288 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 70 "," 28,983 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 62 "," 15,874 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Academies and free schools"," 85 "," 1,416 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sponsored academies"," 52 "," 64,925 ","NA","NA",""
