"Title","EBacc achievement by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","21","190070","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","20","177753","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","32","768","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","x","26","NA","NA","Suppressed","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","x","377","NA","NA","Suppressed","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","25","11146","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","25","9414","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","16","2798","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","23","1079","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","33","2180","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","27","3357","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","27","21835","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","36","6782","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","18","8163","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","25","2972","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","32","3918","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","18","10594","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","11","2710","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","21","6594","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","15","1290","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","45","966","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","29","3182","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Boys","All other pupils","19","2465","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","All pupils","England","Country","E92000001","Boys","All other pupils","21","238526","NA","NA","","Boys all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Girls","All other pupils","31","183098","NA","NA","","Girls all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","31","171125","NA","NA","","Girls all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","44","793","NA","NA","","Girls all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy or Irish Traveller","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","x","23","NA","NA","Suppressed","Girls all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","x","400","NA","NA","Suppressed","Girls all other "
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All other pupils","35","10757","NA","NA","","Girls all other "
