"Title","EBacc achievement by ethnicity, special education needs (SEN) and gender"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","SEN","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Denominator","Notes","Boys-Value","Boys-Denominator","Notes","Girls-Value","Girls-Denominator","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All SEN","5","63150","NA","NA","","40314","","4","40314","","32","184569",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No identified SEN","27","359608","NA","NA","","175039","","22","175039","","7","22836",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN Support","6","46589","NA","NA","","28116","","4","28116","","8","18473",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","2","16561","NA","NA","","12198","","2","12198","","2","4363",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All SEN","6","3474","NA","NA","","2195","","5","2195","","35","10054",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No identified SEN","31","19394","NA","NA","","9340","","26","9340","","8","1279",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN Support","7","2625","NA","NA","","1543","","6","1543","","9","1082",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","2","849","NA","NA","","652","","2","652","","4","197",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All SEN","12","126","NA","NA","","78","","10","78","","41","22415",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No identified SEN","55","1899","NA","NA","","954","","47","954","","8","2244",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN Support","12","86","NA","NA","","48","Suppressed","x","48","Suppressed","10","1746",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","13","40","NA","NA","","30","Suppressed","x","30","Suppressed","3","498",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All SEN","5","4333","NA","NA","","2728","","3","2728","","33","12407",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No identified SEN","26","23590","NA","NA","","11183","","20","11183","","7","1605",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN Support","6","3281","NA","NA","","1959","Suppressed","x","1959","Suppressed","x","1322","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","2","1052","NA","NA","","769","Suppressed","x","769","Suppressed","x","283","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All SEN","7","5740","NA","NA","","3496","","5","3496","","63","945",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No identified SEN","35","45478","NA","NA","","23063","","28","23063","","15","48",""
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN Support","8","4302","NA","NA","","2556","","6","2556","","x","38","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","3","1438","NA","NA","","940","","3","940","","x","10","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All SEN","5","78682","NA","NA","","49977","","4","49977","","33","235923",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","No identified SEN","28","461072","NA","NA","","225149","","23","225149","","7","28705",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN Support","6","58279","NA","NA","","35056","","5","35056","","8","23223",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","SEN with a statement or EHC plan","2","20403","NA","NA","","14921","","2","14921","","2","5482"," "
