"Title","Maths attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard","Average scaled score","Progress score"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","70","18","103","0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","69","17","103","0.3"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","70","17","103","0.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","74","23","104","1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","30","!","96","-1.2"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","26","!","96","-0.5"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","71","20","104","2.9"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","70","19","103","0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","62","12","102","-0.5"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","69","17","103","0.4"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","77","26","105","1.3"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","72","21","104","1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","75","25","105","2.4"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","82","35","107","2.9"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","68","17","103","1.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","75","22","104","2.5"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","81","34","106","3.7"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","67","15","103","1"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","58","9","101","-0.4"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","71","17","103","1.6"
"% of pupils reaching the expected standard in mathematics by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","64","13","102","0.8"
