"Title","Maths attainments for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% Higher standard","Average scaled score","Progress score"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","DFE","All","All/Boys/Girls","70","17","103","0"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","DFE","All","All/Boys/Girls","69","16","103","-0.3"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","69","15","103","-0.5"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","75","22","104","0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","33","3","97","-1.4"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","26","1","96","-1"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","70","18","103","2.3"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","70","18","103","0"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","63","11","101","-1.1"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","69","15","103","-0.1"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","78","24","105","0.7"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","72","20","104","0.4"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","75","23","104","1.7"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","82","33","106","2.3"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","67","16","103","0.9"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","75","20","104","1.8"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","81","32","106","3"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","68","14","103","0.6"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","60","8","101","-0.8"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","72","16","103","1.2"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","65","12","102","0.2"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","92","50","109","4.5"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","DFE","All","All/Boys/Girls","73","20","104","2.4"
"% of pupils reaching the expected standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unclassified","DFE","All","All/Boys/Girls","59","14","102","-0.2"
