Measure,Time,Time_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Lower CI,Upper CI
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,0,0,0
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,-0.3,-0.4,-0.3
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - British,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-0.5,-0.5,-0.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Irish,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,0.6,0.3,0.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Traveller of Irish Heritage,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-1.4,-2.1,-0.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Gypsy/Roma,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-1,-1.4,-0.7
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,White - Any other,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,2.3,2.2,2.4
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,0,-0.1,0
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black Caribbean,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-1.1,-1.2,-1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Black African,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,-0.1,-0.2,0.1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - White and Asian,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,0.7,0.5,0.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Mixed - Any other,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,0.4,0.3,0.5
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,1.7,1.7,1.8
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Indian,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,2.3,2.2,2.4
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Pakistani,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,0.9,0.9,1
Progress mathematics,2015 to 2016,Academic year,England,All,E92000001,Asian - Bangladeshi,Ethnicities used by the National Pupil Database (19),All,All/Boys/Girls,1.8,1.7,1.9
