"Ethnicity","%","Social housing households ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","39","52","135"
"Chinese","9","10","110"
"Indian","9","47","524"
"Pakistani","10","37","361"
"Asian other","17","34","204"
"Black","","",""
"Black African","47","190","406"
"Black Caribbean","45","133","298"
"Black other","37","11","29"
"Mixed","","",""
"Mixed White/Asian","14","8","57"
"Mixed White/Black African","38","34","90"
"Mixed White/Black Caribbean","33","31","93"
"Mixed other","29","14","48"
"White","","",""
"White British","16","3,048","18,816"
"White Irish","26","47","183"
"White Gypsy/Traveller","?","?","?"
"White other","12","146","1,217"
"Other","","",""
"Arab","34","25","74"
"Any other","23","60","258"
