"Ethnicity","Income band","%","Social housing households ('000s)","All households ('000s)"
"White British","Up to £99","51","100","195"
"White British","£100 to £199","44","678","1,524"
"White British","£200 to £299","32","640","2,021"
"White British","£300 to £399","24","522","2,154"
"White British","£400 to £499","18","326","1,768"
"White British","£500 to £599","15","237","1,619"
"White British","£600 to £699","11","178","1,559"
"White British","£700 to £799","8","107","1,289"
"White British","£800 to £899","6","64","1,113"
"White British","£900 to £999","5","46","891"
"White British","£1000 and above","3","126","4,562"
"Other than White British","Up to £99","58","30","51"
"Other than White British","£100 to £199","48","147","305"
"Other than White British","£200 to £299","38","163","425"
"Other than White British","£300 to £399","31","151","481"
"Other than White British","£400 to £499","27","103","378"
"Other than White British","£500 to £599","22","86","386"
"Other than White British","£600 to £699","17","60","354"
"Other than White British","£700 to £799","11","31","269"
"Other than White British","£800 to £899","13","33","245"
"Other than White British","£900 to £999","10","19","186"
"Other than White British","£1000 and above","5","47","975"
