"Title","Renting from a local authority or housing association (‘social housing’)"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","Ministry of Housing, Communities and Local Government"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16.2","3048","18816","21997"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","25.9","47","183","216"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","12","146","1217","1275"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","33.4","31","93","98"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","37.9","34","90","100"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","14.1","8","57","64"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","28.7","14","48","50"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","9","47","524","519"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","10.1","37","361","376"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","38.9","52","135","156"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","9.1","10","110","117"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","16.6","34","204","199"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","46.9","190","406","515"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","44.6","133","298","332"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","37.4","11","29","36"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","33.8","25","74","83"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","23.2","60","258","271"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","4.8","373","7758","8368"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","12.9","496","3850","4411"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","30.1","1840","6111","7903"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","15.3","2709","17719","20682"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","10.3","157","1531","1511"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","17.3","134","775","812"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","31.6","437","1383","1625"
"Percentage of households renting social housing","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","19.7","728","3689","3948"
