"Title","Households renting social housing by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7th March 2017"

"Ethnicity","%","Social housing households","All households"
"Asian","","",""
"Bangladeshi","42","41,000","98,000"
"Chinese","9","11,000","129,000"
"Indian","7","37,000","504,000"
"Pakistani","11","35,000","333,000"
"Asian other","14","30,000","218,000"
"Black","","",""
"Black African","48","176,000","368,000"
"Black Caribbean","45","129,000","289,000"
"Black other","45","17,000","38,000"
"Mixed","","",""
"Mixed White/Asian","18","12,000","66,000"
"Mixed White/Black African","35","28,000","80,000"
"Mixed White/Black Caribbean","37","37,000","99,000"
"Mixed other","34","11,000","32,000"
"White","","",""
"White British","16","3,080,000","18,808,000"
"White Irish","32","58,000","184,000"
"White Gypsy/Traveller","?","?","?"
"White other","13","143,000","1,078,000"
"Other","","",""
"Arab","29","18,000","63,000"
"Any other","21","48,000","227,000"
