"Title","Economic inactivity for 16 to 24 year olds over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"DATE","Ethnicity","%"
"2004","All","32"
"2004","Indian","46"
"2004","Pakistani/Bangladeshi","56"
"2004","Asian other","57"
"2004","Black","47"
"2004","Mixed","39"
"2004","White British","29"
"2004","White other","36"
"2004","Other","55"
"2005","All","32"
"2005","Indian","49"
"2005","Pakistani/Bangladeshi","55"
"2005","Asian other","60"
"2005","Black","50"
"2005","Mixed","41"
"2005","White British","29"
"2005","White other","30"
"2005","Other","53"
"2006","All","33"
"2006","Indian","44"
"2006","Pakistani/Bangladeshi","52"
"2006","Asian other","60"
"2006","Black","48"
"2006","Mixed","38"
"2006","White British","30"
"2006","White other","27"
"2006","Other","53"
"2007","All","33"
"2007","Indian","45"
"2007","Pakistani/Bangladeshi","56"
"2007","Asian other","62"
"2007","Black","49"
"2007","Mixed","39"
"2007","White British","31"
"2007","White other","31"
"2007","Other","55"
"2008","All","34"
"2008","Indian","48"
"2008","Pakistani/Bangladeshi","52"
"2008","Asian other","59"
"2008","Black","53"
"2008","Mixed","45"
"2008","White British","31"
"2008","White other","30"
"2008","Other","50"
"2009","All","35"
"2009","Indian","51"
"2009","Pakistani/Bangladeshi","54"
"2009","Asian other","65"
"2009","Black","52"
"2009","Mixed","47"
"2009","White British","32"
"2009","White other","35"
"2009","Other","60"
"2010","All","38"
"2010","Indian","51"
"2010","Pakistani/Bangladeshi","56"
"2010","Asian other","70"
"2010","Black","55"
"2010","Mixed","45"
"2010","White British","34"
"2010","White other","37"
"2010","Other","61"
"2011","All","37"
"2011","Indian","N/A"
"2011","Pakistani/Bangladeshi","N/A"
"2011","Asian other","N/A"
"2011","Black","N/A"
"2011","Mixed","N/A"
"2011","White British","N/A"
"2011","White other","N/A"
"2011","Other","N/A"
"2012","All","37"
"2012","Indian","46"
"2012","Pakistani/Bangladeshi","56"
"2012","Asian other","68"
"2012","Black","53"
"2012","Mixed","42"
"2012","White British","34"
"2012","White other","44"
"2012","Other","58"
"2013","All","38"
"2013","Indian","54"
"2013","Pakistani/Bangladeshi","52"
"2013","Asian other","69"
"2013","Black","53"
"2013","Mixed","38"
"2013","White British","34"
"2013","White other","42"
"2013","Other","63"
"2014","All","39"
"2014","Indian","58"
"2014","Pakistani/Bangladeshi","55"
"2014","Asian other","69"
"2014","Black","54"
"2014","Mixed","43"
"2014","White British","35"
"2014","White other","41"
"2014","Other","65"
"2015","All","37"
"2015","Indian","54"
"2015","Pakistani/Bangladeshi","53"
"2015","Asian other","67"
"2015","Black","56"
"2015","Mixed","46"
"2015","White British","34"
"2015","White other","36"
"2015","Other","59"
"2016","All","38"
"2016","Indian","59"
"2016","Pakistani/Bangladeshi","56"
"2016","Asian other","68"
"2016","Black","50"
"2016","Mixed","47"
"2016","White British","35"
"2016","White other","36"
"2016","Other","61"
