"Title","Economic inactivity by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"Jan16-Dec16","Inactive","All","All","All","All","16-64","8,835,000","39,846,431","39,029","22","0.4"
"Jan16-Dec16","Inactive","All","White","All","All","16-64","7,087,000","34,072,371","32,679","21","0.7"
"Jan16-Dec16","Inactive","All","Asian - Indian","All","All","16-64","261,000","1,134,029","1,019","23","4.1"
"Jan16-Dec16","Inactive","All","Asian - Other","All","All","16-64","276,000","819,418","956","34","4.7"
"Jan16-Dec16","Inactive","All","Asian - Pakistani/Bangladeshi","All","All","16-64","460,000","1,178,502","1,778","39","3.6"
"Jan16-Dec16","Inactive","All","Black","All","All","16-64","337,000","1,331,829","1,150","25","4"
"Jan16-Dec16","Inactive","All","Mixed","All","All","16-64","143,000","508,478","495","28","6.3"
"Jan16-Dec16","Inactive","All","White - British","All","All","16-64","6,590,000","31,077,465","30,844","21","0.7"
"Jan16-Dec16","Inactive","All","White - Other","All","All","16-64","497,000","2,994,906","1,835","17","2.7"
"Jan16-Dec16","Inactive","All","Other","All","All","16-64","260,000","765,571","904","34","4.9"
"Jan16-Dec16","Inactive","All","Asian","All","All","16-64","997000","3131949","3753","32",""
