"Title","First year entrants onto postgraduate degrees by ethnicity"
"Location",""
"Time period","2007/08 to 2015/16"
"Data source","Higher Education Statistics Agency (HESA) student record"
"Data source link","https://www.hesa.ac.uk/news/12-01-2017/sfr242-student-enrolments-and-qualifications"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017"

"","Asian","","Black","","Mixed","","White","","Other",""
"","%","Number","%","Number","%","Number","%","Number","%","Number"
"2007/08","8.3","13,890","4.8","7,965","2.0","3,325","83.6","139,160","1.3","2,090"
"2008/09","8.4","15,350","5.1","9,305","2.1","3,915","83.1","151,375","1.2","2,220"
"2009/10","8.8","17,310","5.1","10,075","2.3","4,550","82.6","163,210","1.2","2,405"
"2010/11","8.7","16,690","5.2","10,050","2.4","4,560","82.5","158,700","1.2","2,375"
"2011/12","9.2","16,390","5.7","10,085","2.7","4,790","81.1","144,345","1.4","2,455"
"2012/13","9.4","15,815","5.6","9,430","2.7","4,625","80.8","136,345","1.5","2,600"
"2013/14","9.0","15,890","5.6","10,000","2.8","4,910","81.1","143,560","1.5","2,715"
"2014/15","9.0","16,080","5.6","10,075","2.9","5,220","80.9","144,695","1.5","2,730"
"2015/16","9.4","17,100","6.1","11,065","3.1","5,585","79.8","144,560","1.6","2,945"
