"Ethnicity","Main_Mode_of_Transport","% 2002/06","% 2013/17"
"All","Bicycle","2","2"
"All","Car / Van","31","34"
"All","Local bus","13","13"
"All","Other","1","2"
"All","Private bus","5","4"
"All","Surface Rail","1","1"
"All","Walk","48","44"
"Asian","Bicycle","?","?"
"Asian","Car / Van","33","36"
"Asian","Local bus","12","13"
"Asian","Other","?","?"
"Asian","Private bus","?","?"
"Asian","Surface Rail","?","?"
"Asian","Walk","49","45"
"Black","Bicycle","?","?"
"Black","Car / Van","19","22"
"Black","Local bus","31","27"
"Black","Other","?","?"
"Black","Private bus","?","?"
"Black","Surface Rail","?","?"
"Black","Walk","45","44"
"Mixed","Bicycle","?","?"
"Mixed","Car / Van","29","26"
"Mixed","Local bus","17","17"
"Mixed","Other","?","?"
"Mixed","Private bus","?","?"
"Mixed","Surface Rail","?","?"
"Mixed","Walk","47","50"
"White","Bicycle","2","2"
"White","Car / Van","32","35"
"White","Local bus","12","12"
"White","Other","1","1"
"White","Private bus","5","4"
"White","Surface Rail","1","1"
"White","Walk","48","44"
"Other","Bicycle","?","?"
"Other","Car / Van","?","29"
"Other","Local bus","?","26"
"Other","Other","?","?"
"Other","Private bus","?","?"
"Other","Surface Rail","?","?"
"Other","Walk","51","40"
