"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Denominator","Unweighted_Sample_Trips","Numerator","Unweighted_Sample_Distance","Weighted_Sample_Trip_Time","Unweighted_Sample_Trip_Time","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16","Notes"
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","2.3","83948","81224","193644","193665","1543815","1506745","12626","12996","               "
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","1.9","5524","4975","10424","9468","99546","88085","790","765","               "
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","2.4","2636","2595","6402","6444","69505","69642","376","389","               "
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","1.9","2635","2473","5076","4852","54810","52175","373","370","               "
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","2.2","1088","1002","2430","2300","23655","21970","157","158","               "
"Average trip distance in miles to school by children aged 5 to 16","2002-2006","5-year rolling average","White","ONS 2011 5+1","2.4","71985","70117","169212","170524","1294774","1273688","10923","11308","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","2.3","85828","84210","195790","198521","1579147","1566704","12778","13316","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","1.8","5671","5275","10293","9792","98008","91877","801","806","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","2.4","2953","2930","7144","7242","73746","74861","425","440","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","2","2910","2817","5675","5546","60813","59586","408","417","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","2.2","1007","950","2172","2133","21743","20974","143","148","               "
"Average trip distance in miles to school by children aged 5 to 16","2003-2007","5-year rolling average","White","ONS 2011 5+1","2.3","73208","72176","170406","173731","1323311","1318221","10991","11495","               "
"Average trip distance in miles to school by children aged 5 to 16","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","2.3","84045","81990","194403","195909","1555839","1535658","12582","13043","               "
"Average trip distance in miles to school by children aged 5 to 16","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","1.8","5720","5232","10235","9661","97792","90516","806","805","               "
