"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Notes"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","83948","81224","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1509","1501","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","31","26036","25988","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10663","10494","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1172","1191","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","3970","4057","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","647","644","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","All ethnic groups","ONS 2011","Walk","48","39950","37349","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","5524","4975","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","33","1800","1716","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","12","690","555","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011","Walk","49","2728","2423","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","2636","2595","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","19","489","507","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","31","805","782","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","45","1175","1130","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2635","2473","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","29","774","739","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","17","457","455","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","47","1242","1123","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1088","1002","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","Other ethnic group","ONS 2011","Walk","51","558","492","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","All Modes","100","71985","70117","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Bicycle","2","1410","1408","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Car / Van","32","22737","22803","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Local bus","12","8465","8456","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Other","1","1006","1034","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Private bus","5","3664","3769","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Surface Rail","1","510","508","               "
"Mode of travel to school (% using each mode)","2002-2006","5-year rolling average","White","ONS 2011","Walk","48","34193","32139","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","85828","84210","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1460","1459","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","30","26109","26355","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10841","10885","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1203","1270","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","4200","4343","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","614","621","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","All ethnic groups","ONS 2011","Walk","48","41401","39277","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","5671","5275","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","32","1788","1755","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","11","596","565","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011","Walk","53","2981","2668","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","2953","2930","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","19","565","578","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","29","862","865","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","44","1303","1245","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2910","2817","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","29","831","803","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","19","543","543","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","47","1382","1314","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1007","950","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","Other ethnic group","ONS 2011","Walk","51","514","461","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","All Modes","100","73208","72176","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Bicycle","2","1365","1369","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Car / Van","31","22710","23011","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Local bus","12","8584","8653","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Other","1","1038","1091","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Private bus","5","3847","4005","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Surface Rail","1","497","500","               "
"Mode of travel to school (% using each mode)","2003-2007","5-year rolling average","White","ONS 2011","Walk","48","35168","33547","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","84045","81990","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1529","1522","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","30","25526","25602","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10735","10788","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1045","1107","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","4313","4396","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","603","601","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","All ethnic groups","ONS 2011","Walk","48","40294","37974","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","5720","5232","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","31","1774","1709","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","11","626","608","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011","Walk","52","2972","2594","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","2928","2877","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","21","612","620","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","32","937","941","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","40","1181","1113","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2825","2741","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","30","861","853","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","17","488","487","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","48","1350","1275","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1241","1191","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Local bus","24","303","311","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","Other ethnic group","ONS 2011","Walk","46","575","523","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","All Modes","100","71250","69884","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Bicycle","2","1396","1402","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Car / Van","31","21970","22114","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Local bus","12","8371","8435","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Other","1","896","952","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Private bus","6","3954","4057","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Surface Rail","1","499","497","               "
"Mode of travel to school (% using each mode)","2004-2008","5-year rolling average","White","ONS 2011","Walk","48","34162","32427","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","82828","80747","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1591","1598","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","30","24982","25189","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10647","10730","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1019","1076","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","4384","4455","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","665","667","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","All ethnic groups","ONS 2011","Walk","48","39540","37032","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6306","5849","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","31","1935","1894","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","10","641","644","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011","Walk","53","3367","2975","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","2781","2751","               "
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","17","464","471","               "
