"Title","EBacc entry by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","FSM","","Non-FSM",""
"Ethnicity","%","Pupils","%","Pupils"
"All","23","72,528","42","468,161"
"Asian","36","9,018","50","42,200"
"Bangladeshi","42","2,461","48","5,858"
"Indian","41","1,042","57","13,004"
"Pakistani","31","4,536","41","15,898"
"Asian other","41","979","55","7,440"
"Black","35","6,544","46","21,380"
"Black African","39","4,086","49","13,263"
"Black Caribbean","26","1,689","39","5,527"
"Black other","31","769","42","2,590"
"Chinese","55","130","63","1,896"
"Mixed","27","4,240","46","18,628"
"Mixed White/Asian","28","732","54","4,357"
"Mixed White/Black African","32","529","45","2,158"
"Mixed White/Black Caribbean","21","1,620","37","5,540"
"Mixed other","32","1,359","49","6,573"
"White","18","49,595","41","373,168"
"White British","17","46,438","41","348,878"
"White Irish","24","213","53","1,561"
"White Irish Traveller","10","73","16","49"
"White Gypsy/Roma","5","330","5","777"
"White other","36","2,541","47","21,903"
"Other","42","2,024","51","6,095"
"Unknown","21","977","37","4,794"
