"Title","EBacc entry by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"FSM","Ethnicity","%","Pupils"
"FSM","All","23","72,528"
"FSM","Asian","36","9,018"
"FSM","Bangladeshi","42","2,461"
"FSM","Indian","41","1,042"
"FSM","Pakistani","31","4,536"
"FSM","Asian other","41","979"
"FSM","Black","35","6,544"
"FSM","Black African","39","4,086"
"FSM","Black Caribbean","26","1,689"
"FSM","Black other","31","769"
"FSM","Chinese","55","130"
"FSM","Mixed","27","4,240"
"FSM","Mixed White/Asian","28","732"
"FSM","Mixed White/Black African","32","529"
"FSM","Mixed White/Black Caribbean","21","1,620"
"FSM","Mixed other","32","1,359"
"FSM","White","18","49,595"
"FSM","White British","17","46,438"
"FSM","White Irish","24","213"
"FSM","White Irish Traveller","10","73"
"FSM","White Gypsy/Roma","5","330"
"FSM","White other","36","2,541"
"FSM","Other","42","2,024"
"FSM","Unknown","21","977"
"Non-FSM","All","42","468,161"
"Non-FSM","Asian","50","42,200"
"Non-FSM","Bangladeshi","48","5,858"
"Non-FSM","Indian","57","13,004"
"Non-FSM","Pakistani","41","15,898"
"Non-FSM","Asian other","55","7,440"
"Non-FSM","Black","46","21,380"
"Non-FSM","Black African","49","13,263"
"Non-FSM","Black Caribbean","39","5,527"
"Non-FSM","Black other","42","2,590"
"Non-FSM","Chinese","63","1,896"
"Non-FSM","Mixed","46","18,628"
"Non-FSM","Mixed White/Asian","54","4,357"
"Non-FSM","Mixed White/Black African","45","2,158"
"Non-FSM","Mixed White/Black Caribbean","37","5,540"
"Non-FSM","Mixed other","49","6,573"
"Non-FSM","White","41","373,168"
"Non-FSM","White British","41","348,878"
"Non-FSM","White Irish","53","1,561"
"Non-FSM","White Irish Traveller","16","49"
"Non-FSM","White Gypsy/Roma","5","777"
"Non-FSM","White other","47","21,903"
"Non-FSM","Other","51","6,095"
"Non-FSM","Unknown","37","4,794"
