"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%"
"All state-funded mainstream schools","530,580","40","50,515","48","27,407","44","2,008","63","22,465","43","414,528","39"
"Local authority maintained mainstream schools","191,701","39","21,499","44","11,496","42","591","59","8,130","40","145,402","37"
"Academies and free schools","337,452","42","28,983","51","15,874","45","1,416","65","14,288","45","268,711","40"
"Sponsored academies","85,080","30","7,419","40","6,173","41","277","54","3,759","36","64,925","27"
"Converter academies","247,551","46","20,958","55","9,482","48","1,127","68","10,292","49","200,260","45"
"Free schools","1,838","50","411","74","60","28","8","50","79","53","1,187","43"
"University technical colleges","1,864","12","125","9","130","!","!","!","108","!","1,412","13"
"Studio schools","1,119","5","70","6","29","!","!","!","50","!","927","4"
"Further education colleges with provision for 14- to 16-year-olds","885","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"State-funded special schools","10,109","!","703","!","517","!","18","!","403","!","8,235","0"
"All state-funded schools","540,689","40","51,218","47","27,924","43","2,026","63","22,868","42","422,763","38"
