"Title","English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","39.8","537808"
"Percentage entering the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","38.3","421440"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","42.4","22753"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","47.7","50541"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","43.4","27589"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","63.7","1987"
"Percentage entering the English Baccalaureate","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","34.6","273890"
"Percentage entering the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","33.2","214610"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","37.4","11463"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","41.5","26127"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","36.2","13718"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","57.1","1002"
"Percentage entering the English Baccalaureate","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","45.3","263918"
"Percentage entering the English Baccalaureate","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","43.5","206830"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","47.5","11290"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","54.4","24414"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","50.6","13871"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","70.5","985"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","41.7","4979"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","38.2","1139"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","40.5","1913"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36.1","1068"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20.2","1464"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","36.1","2393"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","37.8","1945"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","32.2","3198"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29.2","1620"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","34.7","1535"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40.2","1994"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","36.9","2828"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","35.1","1754"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","18.5","1331"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","32.7","3240"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","48.3","2060"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","38.5","3740"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","47.1","3443"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","36.6","5134"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","57.5","1373"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","23.6","1147"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","33.4","12106"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","40","4611"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","35.5","4715"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","24.8","2920"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","26.3","2315"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","45.6","2084"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","42.6","3076"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","36.5","1767"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","46.1","2816"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","31","2493"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","46.7","2758"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","37.5","2365"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","33.6","3407"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","49.7","3402"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","28.6","2088"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","32.2","5859"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","35.1","2524"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","27.4","3026"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","36.9","3346"
