"Standard Ethnicity","School Type","Pupils","%"
"All","All state-funded mainstream schools","530,580","40"
"All","Local authority maintained mainstream schools","191,701","39"
"All","Academies and free schools","337,452","42"
"All","Sponsored academies","85,080","30"
"All","Converter academies","247,551","46"
"All","Free schools","1,838","50"
"All","University technical colleges","1,864","12"
"All","Studio schools","1,119","5"
"All","Further education colleges with provision for 14- to 16-year-olds","885","3"
"All","State-funded special schools","10,109","!"
"All","All state-funded schools","540,689","40"
"Asian","All state-funded mainstream schools","50,515","48"
"Asian","Local authority maintained mainstream schools","21,499","44"
"Asian","Academies and free schools","28,983","51"
"Asian","Sponsored academies","7,419","40"
"Asian","Converter academies","20,958","55"
"Asian","Free schools","411","74"
"Asian","University technical colleges","125","9"
"Asian","Studio schools","70","6"
"Asian","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Asian","State-funded special schools","703","!"
"Asian","All state-funded schools","51,218","47"
"Black","All state-funded mainstream schools","27,407","44"
"Black","Local authority maintained mainstream schools","11,496","42"
"Black","Academies and free schools","15,874","45"
"Black","Sponsored academies","6,173","41"
"Black","Converter academies","9,482","48"
"Black","Free schools","60","28"
"Black","University technical colleges","130","!"
"Black","Studio schools","29","!"
"Black","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Black","State-funded special schools","517","!"
"Black","All state-funded schools","27,924","43"
"Chinese","All state-funded mainstream schools","2,008","63"
"Chinese","Local authority maintained mainstream schools","591","59"
"Chinese","Academies and free schools","1,416","65"
"Chinese","Sponsored academies","277","54"
"Chinese","Converter academies","1,127","68"
"Chinese","Free schools","8","50"
"Chinese","University technical colleges","!","!"
"Chinese","Studio schools","!","!"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Chinese","State-funded special schools","18","!"
"Chinese","All state-funded schools","2,026","63"
"Mixed","All state-funded mainstream schools","22,465","43"
"Mixed","Local authority maintained mainstream schools","8,130","40"
"Mixed","Academies and free schools","14,288","45"
"Mixed","Sponsored academies","3,759","36"
"Mixed","Converter academies","10,292","49"
"Mixed","Free schools","79","53"
"Mixed","University technical colleges","108","!"
"Mixed","Studio schools","50","!"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Mixed","State-funded special schools","403","!"
"Mixed","All state-funded schools","22,868","42"
"White","All state-funded mainstream schools","414,528","39"
"White","Local authority maintained mainstream schools","145,402","37"
"White","Academies and free schools","268,711","40"
"White","Sponsored academies","64,925","27"
"White","Converter academies","200,260","45"
"White","Free schools","1,187","43"
"White","University technical colleges","1,412","13"
"White","Studio schools","927","4"
"White","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"White","State-funded special schools","8,235","0"
"White","All state-funded schools","422,763","38"
