"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%"
"All","England","39.8"
"All","County Durham","41.7"
"All","Darlington","38.2"
"All","Gateshead","40.5"
"All","Hartlepool","36.1"
"All","Middlesbrough","20.2"
"All","Newcastle upon Tyne","36.1"
"All","North Tyneside","37.8"
"All","Northumberland","32.2"
"All","Redcar and Cleveland","29.2"
"All","South Tyneside","34.7"
"All","Stockton-on-Tees","40.2"
"All","Sunderland","36.9"
"All","Blackburn with Darwen","35.1"
"All","Blackpool","18.5"
"All","Bolton","32.7"
"All","Bury","48.3"
"All","Cheshire East","38.5"
"All","Cheshire West and Chester","47.1"
"All","Cumbria","36.6"
"All","Halton","57.5"
"All","Knowsley","23.6"
"All","Lancashire","33.4"
"All","Liverpool","40.0"
"All","Manchester","35.5"
"All","Oldham","24.8"
"All","Rochdale","26.3"
"All","Salford","45.6"
"All","Sefton","42.6"
"All","St. Helens","36.5"
"All","Stockport","46.1"
"All","Tameside","31.0"
"All","Trafford","46.7"
"All","Warrington","37.5"
"All","Wigan","33.6"
"All","Wirral","49.7"
"All","Barnsley","28.6"
"All","Bradford","32.2"
"All","Calderdale","35.1"
"All","Doncaster","27.4"
"All","East Riding of Yorkshire","36.9"
"All","Kingston upon Hull, City of","40.3"
"All","Kirklees","36.1"
"All","Leeds","40.8"
"All","North East Lincolnshire","35.1"
"All","North Lincolnshire","32.8"
"All","North Yorkshire","41.1"
"All","Rotherham","31.2"
"All","Sheffield","39.4"
"All","Wakefield","33.0"
"All","York","56.3"
"All","Derby","32.8"
"All","Derbyshire","31.0"
"All","Leicester","32.2"
"All","Leicestershire","31.5"
"All","Lincolnshire","43.6"
"All","Northamptonshire","40.5"
"All","Nottingham","32.2"
"All","Nottinghamshire","40.8"
"All","Rutland","32.7"
"All","Birmingham","41.9"
"All","Coventry","39.5"
"All","Dudley","33.1"
"All","Herefordshire, County of","43.1"
"All","Sandwell","22.3"
"All","Shropshire","38.3"
"All","Solihull","44.8"
"All","Staffordshire","34.7"
"All","Stoke-on-Trent","27.9"
"All","Telford and Wrekin","46.2"
"All","Walsall","35.7"
"All","Warwickshire","42.2"
"All","Wolverhampton","25.7"
"All","Worcestershire","39.3"
"All","Bedford","31.4"
"All","Cambridgeshire","41.3"
"All","Central Bedfordshire","36.1"
"All","Essex","38.0"
"All","Hertfordshire","46.0"
"All","Luton","33.4"
"All","Norfolk","35.6"
"All","Peterborough","37.7"
"All","Southend-on-Sea","41.6"
"All","Suffolk","30.2"
"All","Thurrock","41.8"
"All","Camden","45.9"
"All","City of London","N/A"
"All","Hackney","52.5"
"All","Hammersmith and Fulham","64.6"
"All","Haringey","39.1"
"All","Islington","44.5"
"All","Kensington and Chelsea","52.4"
"All","Lambeth","50.6"
"All","Lewisham","42.4"
"All","Newham","51.5"
"All","Southwark","57.9"
"All","Tower Hamlets","46.1"
"All","Wandsworth","58.4"
"All","Westminster","48.6"
"All","Barking and Dagenham","35.2"
"All","Barnet","60.1"
"All","Bexley","43.5"
"All","Brent","54.6"
"All","Bromley","50.9"
"All","Croydon","44.6"
"All","Ealing","55.4"
"All","Enfield","54.8"
"All","Greenwich","47.3"
"All","Harrow","54.0"
"All","Havering","48.6"
"All","Hillingdon","42.2"
"All","Hounslow","57.2"
"All","Kingston upon Thames","60.7"
"All","Merton","42.2"
"All","Redbridge","43.0"
"All","Richmond upon Thames","56.9"
"All","Sutton","55.8"
"All","Waltham Forest","39.3"
"All","Bracknell Forest","37.8"
"All","Brighton and Hove","39.1"
"All","Buckinghamshire","44.3"
"All","East Sussex","34.6"
"All","Hampshire","41.2"
"All","Isle of Wight","28.4"
"All","Kent","43.3"
"All","Medway","37.1"
"All","Milton Keynes","44.3"
"All","Oxfordshire","37.9"
"All","Portsmouth","37.9"
"All","Reading","37.3"
"All","Slough","41.6"
"All","Southampton","40.3"
"All","Surrey","46.0"
"All","West Berkshire","48.0"
"All","West Sussex","41.0"
"All","Windsor and Maidenhead","44.1"
"All","Wokingham","53.3"
"All","Bath and North East Somerset","52.3"
"All","Bournemouth","42.9"
"All","Bristol, City of","32.0"
"All","Cornwall","32.8"
"All","Devon","42.7"
"All","Dorset","46.4"
"All","Gloucestershire","34.8"
"All","Isles of Scilly","!"
"All","North Somerset","31.6"
"All","Plymouth","39.8"
"All","Poole","!"
"All","Somerset","35.5"
"All","South Gloucestershire","32.7"
"All","Swindon","32.8"
"All","Torbay","32.0"
"All","Wiltshire","41.5"
"White","England","38.3"
"White","County Durham","41.5"
"White","Darlington","37.8"
"White","Gateshead","39.7"
"White","Hartlepool","35.6"
"White","Middlesbrough","20.3"
"White","Newcastle upon Tyne","34.2"
"White","North Tyneside","37.0"
"White","Northumberland","32.0"
"White","Redcar and Cleveland","28.8"
"White","South Tyneside","34.0"
"White","Stockton-on-Tees","39.8"
"White","Sunderland","36.0"
"White","Blackburn with Darwen","25.5"
"White","Blackpool","18.3"
"White","Bolton","26.1"
"White","Bury","48.3"
"White","Cheshire East","38.7"
"White","Cheshire West and Chester","47.2"
"White","Cumbria","36.5"
"White","Halton","57.2"
"White","Knowsley","23.1"
"White","Lancashire","33.1"
"White","Liverpool","40.2"
"White","Manchester","32.7"
"White","Oldham","26.8"
"White","Rochdale","21.7"
"White","Salford","45.0"
"White","Sefton","43.4"
"White","St. Helens","37.4"
"White","Stockport","45.6"
"White","Tameside","30.7"
"White","Trafford","46.4"
"White","Warrington","37.1"
"White","Wigan","33.3"
"White","Wirral","49.1"
"White","Barnsley","28.5"
"White","Bradford","31.3"
"White","Calderdale","35.5"
"White","Doncaster","27.2"
"White","East Riding of Yorkshire","36.6"
