"Title","EBacc entry by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Gender","Ethnicity","%","Pupils"
"All","All","40","540,689"
"All","Asian","47","51,218"
"All","Bangladeshi","46","8,319"
"All","Indian","56","14,046"
"All","Pakistani","39","20,434"
"All","Asian other","53","8,419"
"All","Black","43","27,924"
"All","Black African","47","17,349"
"All","Black Caribbean","36","7,216"
"All","Black other","40","3,359"
"All","Chinese","63","2,026"
"All","Mixed","42","22,868"
"All","Mixed White/Asian","50","5,089"
"All","Mixed White/Black African","42","2,687"
"All","Mixed White/Black Caribbean","33","7,160"
"All","Mixed other","46","7,932"
"All","White","38","422,763"
"All","White British","38","395,316"
"All","White Irish","50","1,774"
"All","White Irish Traveller","12","122"
"All","White Gypsy/Roma","5","1,107"
"All","White other","45","24,444"
"All","Other","49","8,119"
"All","Unknown","34","5,771"
"Boys","All","34","275,606"
"Boys","Asian","41","26,559"
"Boys","Bangladeshi","41","4,239"
"Boys","Indian","50","7,321"
"Boys","Pakistani","32","10,559"
"Boys","Asian other","47","4,440"
"Boys","Black","36","13,911"
"Boys","Black African","40","8,669"
"Boys","Black Caribbean","28","3,548"
"Boys","Black other","32","1,694"
"Boys","Chinese","56","1,033"
"Boys","Mixed","37","11,535"
"Boys","Mixed White/Asian","44","2,542"
"Boys","Mixed White/Black African","37","1,354"
"Boys","Mixed White/Black Caribbean","28","3,614"
"Boys","Mixed other","42","4,025"
"Boys","White","33","215,354"
"Boys","White British","33","201,407"
"Boys","White Irish","44","883"
"Boys","White Irish Traveller","8","67"
"Boys","White Gypsy/Roma","4","534"
"Boys","White other","41","12,463"
"Boys","Other","43","4,242"
"Boys","Unknown","29","2,972"
"Girls","All","45","265,083"
"Girls","Asian","54","24,659"
"Girls","Bangladeshi","52","4,080"
"Girls","Indian","63","6,725"
"Girls","Pakistani","46","9,875"
"Girls","Asian other","61","3,979"
"Girls","Black","50","14,013"
"Girls","Black African","54","8,680"
"Girls","Black Caribbean","44","3,668"
"Girls","Black other","47","1,665"
"Girls","Chinese","70","993"
"Girls","Mixed","47","11,333"
"Girls","Mixed White/Asian","56","2,547"
"Girls","Mixed White/Black African","47","1,333"
"Girls","Mixed White/Black Caribbean","38","3,546"
"Girls","Mixed other","51","3,907"
"Girls","White","43","207,409"
"Girls","White British","43","193,909"
"Girls","White Irish","55","891"
"Girls","White Irish Traveller","18","55"
"Girls","White Gypsy/Roma","6","573"
"Girls","White other","51","11,981"
"Girls","Other","55","3,877"
"Girls","Unknown","40","2,799"
