"Title","EBacc entry by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","40","540,689","34","275,606","45","265,083"
"Asian","47","51,218","41","26,559","54","24,659"
"Bangladeshi","46","8,319","41","4,239","52","4,080"
"Indian","56","14,046","50","7,321","63","6,725"
"Pakistani","39","20,434","32","10,559","46","9,875"
"Asian other","53","8,419","47","4,440","61","3,979"
"Black","43","27,924","36","13,911","50","14,013"
"Black African","47","17,349","40","8,669","54","8,680"
"Black Caribbean","36","7,216","28","3,548","44","3,668"
"Black other","40","3,359","32","1,694","47","1,665"
"Chinese","63","2,026","56","1,033","70","993"
"Mixed","42","22,868","37","11,535","47","11,333"
"Mixed White/Asian","50","5,089","44","2,542","56","2,547"
"Mixed White/Black African","42","2,687","37","1,354","47","1,333"
"Mixed White/Black Caribbean","33","7,160","28","3,614","38","3,546"
"Mixed other","46","7,932","42","4,025","51","3,907"
"White","38","422,763","33","215,354","43","207,409"
"White British","38","395,316","33","201,407","43","193,909"
"White Irish","50","1,774","44","883","55","891"
"White Irish Traveller","12","122","8","67","18","55"
"White Gypsy/Roma","5","1,107","4","534","6","573"
"White other","45","24,444","41","12,463","51","11,981"
"Other","49","8,119","43","4,242","55","3,877"
"Unknown","34","5,771","29","2,972","40","2,799"
