"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted Respondents","Note"
"Access to NHS dental services","2013/14","July 2013 to March 2014","Irish","ONS 18+1","England","94.1","%","2,024.00","1,904.70","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2011/12","July 2011 to March 2012","All","ONS 18+1","England","94.5","%","278,950.00","263,739.50","94.4","94.7","",""
"Access to NHS dental services","2016/17","January 2017 to March 2017","All","ONS 18+1","England","94.6","%","444,001.20","420,120.70","94.5","94.7","440,432",""
"Access to NHS dental services","2012/13","July 2012 to March 2013","Irish","ONS 18+1","England","94.6","%","2,193.30","2,074.00","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","All","ONS 18+1","England","94.7","%","229,368.20","217,158.60","94.5","94.8","226,264",""
"Access to NHS dental services","2011/12","July 2011 to March 2012","Irish","ONS 18+1","England","94.7","%","2,359.00","2,233.50","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2013/14","July 2013 to March 2014","All","ONS 18+1","England","94.8","%","259,724.50","246,266.50","94.7","94.9","",""
"Access to NHS dental services","2011/12","July 2011 to March 2012","English / Welsh / Scottish / Northern Irish / British","ONS 18+1","England","95.4","%","230,680.70","219,960.60","","","","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White and Asian","ONS 18+1","England","94.6","%","1,480.80","1,400.70","","","1,096","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Caribbean","ONS 18+1","England","94.4","%","3,815.20","3,602.30","","","4,255","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","93.2","%","4,052.80","3,776.60","","","4,376","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White and Black Caribbean","ONS 18+1","England","92.2","%","1,679.50","1,548.90","","","1,218","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","92","%","2,609.60","2,401.80","","","2,152","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any other Mixed / multiple ethnic background","ONS 18+1","England","91.8","%","1,587.70","1,457.30","","","1,229","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","91.4","%","7,641.80","6,987.90","","","7,352","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Arab","ONS 18+1","England","91.1","%","1,221.00","1,111.90","","","1,061","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","91","%","9,738.80","8,857.60","","","10,666","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any other Asian background","ONS 18+1","England","90.7","%","6,198.30","5,622.90","","","5,839","No figures to report for upper and lower bounds"
