"Title","Mathematics attainment for children aged 5 to 7 by ethnicity,  gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Breakdown","Ethnicity",""
"FSM Boys","All","56"
"FSM Boys","Asian","64"
"FSM Boys","Bangladeshi","65"
"FSM Boys","Indian","71"
"FSM Boys","Pakistani","60"
"FSM Boys","Asian other","68"
"FSM Boys","Black","61"
"FSM Boys","Black African","63"
"FSM Boys","Black Caribbean","55"
"FSM Boys","Black other","58"
"FSM Boys","Chinese","81"
"FSM Boys","Mixed","60"
"FSM Boys","Mixed White/Asian","61"
"FSM Boys","Mixed White/Black African","62"
"FSM Boys","Mixed White/Black Caribbean","57"
"FSM Boys","Mixed other","64"
"FSM Boys","White","54"
"FSM Boys","White British","54"
"FSM Boys","White Irish","50"
"FSM Boys","White Irish Traveller","32"
"FSM Boys","White Gypsy/Roma","26"
"FSM Boys","White other","61"
"FSM Boys","Other","64"
"FSM Girls","All","59"
"FSM Girls","Asian","66"
"FSM Girls","Bangladeshi","70"
"FSM Girls","Indian","70"
"FSM Girls","Pakistani","63"
"FSM Girls","Asian other","69"
"FSM Girls","Black","68"
"FSM Girls","Black African","71"
"FSM Girls","Black Caribbean","62"
"FSM Girls","Black other","66"
"FSM Girls","Chinese","81"
"FSM Girls","Mixed","62"
"FSM Girls","Mixed White/Asian","65"
"FSM Girls","Mixed White/Black African","64"
"FSM Girls","Mixed White/Black Caribbean","60"
"FSM Girls","Mixed other","63"
"FSM Girls","White","56"
"FSM Girls","White British","57"
"FSM Girls","White Irish","56"
"FSM Girls","White Irish Traveller","34"
"FSM Girls","White Gypsy/Roma","34"
"FSM Girls","White other","60"
"FSM Girls","Other","66"
"Non-FSM Boys","All","74"
"Non-FSM Boys","Asian","75"
"Non-FSM Boys","Bangladeshi","74"
"Non-FSM Boys","Indian","82"
"Non-FSM Boys","Pakistani","69"
"Non-FSM Boys","Asian other","77"
"Non-FSM Boys","Black","72"
"Non-FSM Boys","Black African","74"
"Non-FSM Boys","Black Caribbean","68"
"Non-FSM Boys","Black other","70"
"Non-FSM Boys","Chinese","88"
"Non-FSM Boys","Mixed","76"
"Non-FSM Boys","Mixed White/Asian","81"
"Non-FSM Boys","Mixed White/Black African","76"
"Non-FSM Boys","Mixed White/Black Caribbean","70"
"Non-FSM Boys","Mixed other","76"
"Non-FSM Boys","White","75"
"Non-FSM Boys","White British","75"
"Non-FSM Boys","White Irish","79"
"Non-FSM Boys","White Irish Traveller","31"
"Non-FSM Boys","White Gypsy/Roma","29"
"Non-FSM Boys","White other","72"
"Non-FSM Boys","Other","72"
"Non-FSM Girls","All","76"
"Non-FSM Girls","Asian","77"
"Non-FSM Girls","Bangladeshi","76"
"Non-FSM Girls","Indian","85"
"Non-FSM Girls","Pakistani","71"
"Non-FSM Girls","Asian other","81"
"Non-FSM Girls","Black","75"
"Non-FSM Girls","Black African","78"
"Non-FSM Girls","Black Caribbean","71"
"Non-FSM Girls","Black other","71"
"Non-FSM Girls","Chinese","89"
"Non-FSM Girls","Mixed","78"
"Non-FSM Girls","Mixed White/Asian","82"
"Non-FSM Girls","Mixed White/Black African","78"
"Non-FSM Girls","Mixed White/Black Caribbean","72"
"Non-FSM Girls","Mixed other","80"
"Non-FSM Girls","White","76"
"Non-FSM Girls","White British","77"
"Non-FSM Girls","White Irish","79"
"Non-FSM Girls","White Irish Traveller","37"
"Non-FSM Girls","White Gypsy/Roma","29"
"Non-FSM Girls","White other","73"
"Non-FSM Girls","Other","72"
