"Title","Cancer diagnosis at an early stage by ethnicity"
"Location","England"
"Time period","2014 to 2015"
"Data source","Public Health Outcomes Framework http://www.phoutcomes.info/"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Value","Ethnicity","Ethnicity_type"
"2014","50.7","All","DFE"
"2015","52.4","All","DFE"
"2014","52.8","Asian","DFE"
"2015","55.7","Asian","DFE"
"2014","53.7","Black","DFE"
"2015","54","Black","DFE"
"2014","51.3","Chinese","DFE"
"2015","56.2","Chinese","DFE"
"2014","50.1","Mixed","DFE"
"2015","54.3","Mixed","DFE"
"2014","49.2","Other","DFE"
"2015","50.2","Other","DFE"
"2014","48.5","Unknown","DFE"
"2015","50.3","Unknown","DFE"
"2014","50.7","White","DFE"
"2015","52.5","White","DFE"
