"","16 - 17 yrs old","18 - 24 yrs old","25 - 29 yrs old","30 - 39 yrs old","40 - 49 yrs old","50 - 59 yrs old","60 - 69 yrs old","70 - 79 yrs old","80 + yrs old"
"","%","%","%","%","%","%","%","%","%"
"Asian","1.5","12.7","15.0","33.0","19.8","8.2","5.6","2.6","1.4"
"Bangladeshi","0.6","13.3","18.1","34.5","21.0","7.1","3.0","1.4","1.1"
"Chinese","1.9","5.8","8.7","26.8","18.5","14.1","14.1","5.7","4.3"
"Indian","1.2","9.9","11.7","28.6","20.0","11.0","9.9","4.9","2.8"
"Pakistani","1.7","14.4","17.7","36.4","17.2","6.7","3.7","1.4","0.7"
"Asian other","2.2","12.8","12.3","31.2","22.3","8.7","6.2","3.0","1.3"
"Black","1.4","17.8","14.6","27.7","19.7","11.5","4.1","2.0","1.3"
"Black African","1.0","16.3","15.4","30.5","22.0","9.6","3.3","1.3","0.5"
"Black Caribbean","1.8","20.5","13.2","23.1","15.7","14.4","5.3","3.3","2.7"
"Black other","1.4","17.0","14.7","28.0","20.5","12.1","3.7","1.9","0.8"
"Mixed","3.5","28.4","17.3","25.2","13.2","7.0","3.3","1.6","0.6"
"Mixed White/Asian","4.8","25.8","16.5","26.2","13.7","7.5","3.6","1.4","0.6"
"Mixed White/Black African","2.4","21.4","12.4","27.6","18.5","8.1","5.3","3.3","0.9"
"Mixed White/Black Caribbean","4.0","36.0","20.1","21.7","9.4","5.8","1.6","0.9","0.4"
"Mixed other","2.4","18.9","15.3","30.4","16.9","8.4","5.1","2.0","0.6"
"White","1.7","19.6","13.7","18.8","13.6","12.3","10.1","5.8","4.3"
"White British","1.8","20.2","13.7","18.0","13.3","12.3","10.3","5.9","4.5"
"White Irish","0.5","11.3","8.5","15.9","14.9","15.6","15.2","11.6","6.5"
"White Gypsy/Traveller","2.1","17.0","16.0","28.5","15.3","9.6","6.4","3.6","1.6"
"White other","0.8","9.8","14.6","35.1","18.9","11.3","6.7","1.9","0.9"
"Other","2.5","14.9","13.7","31.9","19.6","9.5","4.8","2.1","1.1"
"Arab","3.2","15.2","14.3","34.1","19.0","8.2","3.5","1.6","0.9"
"Any other","2.2","14.8","13.5","31.0","19.8","9.9","5.4","2.3","1.2"
