"Title","New social housing lettings by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings in England: April 2015 to March 2016"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2015-to-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","North East","North West","Yorkshire & Humber","East Midlands","West Midlands","East of England","London","South East","South West"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"Asian","1.5","3.0","4.3","3.4","6.2","2.8","12.2","3.4","1.2"
"Bangladeshi","0.4","0.3","0.3","0.3","0.7","0.7","4.8","0.4","0.2"
"Chinese","0.1","0.2","0.1","0.1","0.1","0.1","0.5","0.1","0.1"
"Indian","0.1","0.4","0.4","1.4","1.3","0.5","1.8","0.5","0.2"
"Pakistani","0.3","1.3","2.2","0.9","2.9","0.8","1.8","1.2","0.2"
"Asian other","0.6","0.9","1.2","0.8","1.1","0.7","3.3","1.1","0.4"
"Black","1.5","3.8","4.2","3.8","8.8","3.8","29.3","3.6","2.7"
"Black African","1.2","2.5","2.7","2.0","4.1","2.0","14.1","2.2","1.3"
"Black Caribbean","0.1","0.8","1.0","1.3","4.0","1.3","11.4","0.9","0.8"
"Black other","0.2","0.5","0.5","0.4","0.7","0.5","3.7","0.5","0.6"
"Mixed","0.8","2.1","2.4","2.7","4.3","2.9","6.7","2.4","2.0"
"Mixed White/Asian","0.2","0.3","0.4","0.2","0.5","0.4","0.5","0.3","0.3"
"Mixed White/Black African","0.2","0.5","0.4","0.3","0.6","0.4","1.2","0.4","0.2"
"Mixed White/Black Caribbean","0.1","0.8","1.1","1.6","2.6","1.3","3.2","1.0","1.0"
"Mixed other","0.3","0.5","0.5","0.5","0.6","0.9","1.8","0.7","0.5"
"White","95.1","89.7","86.9","88.8","78.8","89.6","47.8","89.8","93.4"
"White British","93.4","85.2","82.4","84.1","74.1","84.2","38.7","85.5","89.9"
"White Irish","0.2","0.5","0.3","0.4","0.7","0.5","1.6","0.5","0.4"
"White Gypsy/Traveller","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1"
"White other","1.5","3.9","4.2","4.2","3.9","4.8","7.4","3.7","3.0"
"Other","1.0","1.5","2.2","1.2","2.0","0.9","4.0","0.9","0.7"
"Arab","0.3","0.5","0.6","0.3","0.7","0.2","1.1","0.2","0.1"
"Any other","0.7","1.0","1.6","1.0","1.3","0.7","2.9","0.7","0.5"
