"Title","New social housing lettings by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Social housing lettings in England: April 2016 to March 2017"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","30/01/2018"

"Ethnicity","%","Social housing lettings","Population (2016 estimate)"
"Asian","4.5","14,313","7.7"
"Bangladeshi","0.9","2,830","0.8"
"Chinese","0.1","477","0.8"
"Indian","0.7","2,371","2.7"
"Pakistani","1.5","4,765","1.9"
"Asian other","1.2","3,870","1.6"
"Black","7.1","22,530","3.4"
"Black African","3.8","12,059","1.7"
"Black Caribbean","2.4","7,529","1.2"
"Black other","0.9","2,942","0.5"
"Mixed","3.0","9,418","1.8"
"Mixed White/Asian","0.4","1,165","0.5"
"Mixed White/Black African","0.5","1,555","0.2"
"Mixed White/Black Caribbean","1.4","4,510","0.7"
"Mixed other","0.7","2,188","0.4"
"White","83.5","265,736","86.1"
"White British","78.9","251,093","80.2"
"White Irish","0.6","1,786","1.0"
"White Gypsy/Traveller","0.1","429","0.1"
"White other","3.9","12,428","4.8"
"Other","1.9","6,153","1.0"
"Arab","0.6","1,766","0.4"
"Any other","1.4","4,387","0.6"
