"Title","English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-05"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","24.8","537808","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","County Durham","Local Authority","E06000047","All pupils","All pupils","24.9","4979","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Darlington","Local Authority","E06000005","All pupils","All pupils","23.9","1139","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Gateshead","Local Authority","E08000037","All pupils","All pupils","25.4","1913","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14.2","1068","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","10.7","1464","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","23.9","2393","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","North Tyneside","Local Authority","E08000022","All pupils","All pupils","25.6","1945","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3198","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19.4","1620","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","South Tyneside","Local Authority","E08000023","All pupils","All pupils","20.6","1535","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26.2","1994","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Sunderland","Local Authority","E08000024","All pupils","All pupils","21.3","2828","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","24.5","1754","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","9.3","1331","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","20.3","3240","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","26.9","2060","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","26.6","3740","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30.1","3443","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","22.4","5134","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","32.5","1373","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","10.5","1147","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","21.9","12106","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","23.2","4611","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","19.2","4715","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","15.9","2920","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","16.4","2315","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","20.2","2084","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","25.1","3076","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","19.9","1767","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","30.3","2816","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","19","2493","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","36.5","2758","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","23.6","2365","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","22.4","3407","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","34.7","3402","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","17.9","2088","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","17.2","5859","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","24.6","2524","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","15.9","3026","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","21.5","3346","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","19.8","2255","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","21.9","4534","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","22.9","7483","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","17.3","1596","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","18.9","1856","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","29","6188","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","19.8","3335","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","21.8","5242","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","19.6","3645","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","York","Local Authority","E06000014","All pupils","All pupils","35.1","1585","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","19.7","2787","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","18.8","7628","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","19.2","3409","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","18.9","7017","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","28.1","7807","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","22.3","7650","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","16.8","2534","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","25.4","7883","","",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All pupils","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","26.2","489","","",""
