"FSM","Ethnicity","%","Pupils"
"FSM","All","10","72,528"
"FSM","Asian","20","9,018"
"FSM","Bangladeshi","24","2,461"
"FSM","Indian","24","1,042"
"FSM","Pakistani","16","4,536"
"FSM","Asian other","25","979"
"FSM","Black","16","6,544"
"FSM","Black African","19","4,086"
"FSM","Black Caribbean","9","1,689"
"FSM","Black other","13","769"
"FSM","Chinese","42","130"
"FSM","Mixed","12","4,240"
"FSM","Mixed White/Asian","13","732"
"FSM","Mixed White/Black African","13","529"
"FSM","Mixed White/Black Caribbean","8","1,620"
"FSM","Mixed other","16","1,359"
"FSM","White","7","49,595"
"FSM","White British","6","46,438"
"FSM","White Irish","10","213"
"FSM","White Irish Traveller","!","73"
"FSM","White Gypsy/Roma","!","330"
"FSM","White other","18","2,541"
"FSM","Any other","23","2,024"
"FSM","Unknown","9","977"
"Non-FSM","All","27","468,161"
"Non-FSM","Asian","34","42,200"
"Non-FSM","Bangladeshi","32","5,858"
"Non-FSM","Indian","43","13,004"
"Non-FSM","Pakistani","24","15,898"
"Non-FSM","Asian other","40","7,440"
"Non-FSM","Black","25","21,380"
"Non-FSM","Black African","29","13,263"
"Non-FSM","Black Caribbean","18","5,527"
"Non-FSM","Black other","22","2,590"
"Non-FSM","Chinese","53","1,896"
"Non-FSM","Mixed","30","18,628"
"Non-FSM","Mixed White/Asian","39","4,357"
"Non-FSM","Mixed White/Black African","29","2,158"
"Non-FSM","Mixed White/Black Caribbean","21","5,540"
"Non-FSM","Mixed other","33","6,573"
"Non-FSM","White","26","373,168"
"Non-FSM","White British","26","348,878"
"Non-FSM","White Irish","38","1,561"
"Non-FSM","White Irish Traveller","!","49"
"Non-FSM","White Gypsy/Roma","!","777"
"Non-FSM","White other","30","21,903"
"Non-FSM","Any other","34","6,095"
"Non-FSM","Unknown","23","4,794"
