"Title","EBacc achievement by ethnicity, gender and religion of school"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","25","20","30"
"All","Church of England schools","26","22","31"
"All","Jewish schools","42","43","41"
"All","Muslim schools","51","45","53"
"All","No religious character","25","20","30"
"All","Other Christian faith schools","27","23","31"
"All","Roman Catholic schools","29","24","35"
"All","Sikh school","49","45","54"
"Asian","All state-funded mainstream schools","32","25","39"
"Asian","Church of England schools","33","30","38"
"Asian","Jewish schools","46","40","53"
"Asian","Muslim schools","53","44","55"
"Asian","No religious character","31","25","38"
"Asian","Other Christian faith schools","42","38","49"
"Asian","Roman Catholic schools","33","26","41"
"Asian","Sikh school","!","!","!"
"Black","All state-funded mainstream schools","23","17","30"
"Black","Church of England schools","24","17","30"
"Black","Jewish schools","54","57","50"
"Black","Muslim schools","35","40","33"
"Black","No religious character","22","16","29"
"Black","Other Christian faith schools","22","15","31"
"Black","Roman Catholic schools","28","21","34"
"Black","Sikh school","!","!","!"
"Chinese","All state-funded mainstream schools","52","44","61"
"Chinese","Church of England schools","57","54","61"
"Chinese","Jewish schools","!","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","53","45","61"
"Chinese","Other Christian faith schools","52","32","77"
"Chinese","Roman Catholic schools","48","40","54"
"Chinese","Sikh school","!","!","!"
"Mixed","All state-funded mainstream schools","27","22","32"
"Mixed","Church of England schools","28","25","31"
"Mixed","Jewish schools","37","33","40"
"Mixed","Muslim schools","!","!","!"
"Mixed","No religious character","26","21","32"
"Mixed","Other Christian faith schools","32","32","33"
"Mixed","Roman Catholic schools","31","26","36"
"Mixed","Sikh school","!","!","!"
"White","All state-funded mainstream schools","24","19","29"
"White","Church of England schools","26","21","30"
"White","Jewish schools","38","40","36"
"White","Muslim schools","!","N/A","!"
"White","No religious character","24","19","28"
"White","Other Christian faith schools","25","22","28"
"White","Roman Catholic schools","29","23","34"
"White","Sikh school","!","!","!"
