"Title","EBacc achievement by ethnicity and eligibility for free school meals (FSM) "
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","FSM","","Non-FSM",""
"Ethnicity","%","Pupils","%","Pupils"
"All","10","72,528","27","468,161"
"Asian","20","9,018","34","42,200"
"Bangladeshi","24","2,461","32","5,858"
"Indian","24","1,042","43","13,004"
"Pakistani","16","4,536","24","15,898"
"Asian other","25","979","40","7,440"
"Black","16","6,544","25","21,380"
"Black African","19","4,086","29","13,263"
"Black Caribbean","9","1,689","18","5,527"
"Black other","13","769","22","2,590"
"Chinese","42","130","53","1,896"
"Mixed","12","4,240","30","18,628"
"Mixed White/Asian","13","732","39","4,357"
"Mixed White/Black African","13","529","29","2,158"
"Mixed White/Black Caribbean","8","1,620","21","5,540"
"Mixed other","16","1,359","33","6,573"
"White","7","49,595","26","373,168"
"White British","6","46,438","26","348,878"
"White Irish","10","213","38","1,561"
"White Irish Traveller","!","73","!","49"
"White Gypsy/Roma","!","330","!","777"
"White other","18","2,541","30","21,903"
"Any other","23","2,024","34","6,095"
"Unknown","9","977","23","4,794"
