"Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","5","4","7"
"All","No identified SEN","28","23","33"
"All","SEN Support","6","5","8"
"All","SEN with a statement or EHC plan","2","2","2"
"Asian","All SEN","7","5","8"
"Asian","No identified SEN","35","28","41"
"Asian","SEN Support","8","6","10"
"Asian","SEN with a statement or EHC plan","3","3","3"
"Black","All SEN","5","3","7"
"Black","No identified SEN","26","20","33"
"Black","SEN Support","6","!","!"
"Black","SEN with a statement or EHC plan","2","!","!"
"Chinese","All SEN","12","10","15"
"Chinese","No identified SEN","55","47","63"
"Chinese","SEN Support","12","!","!"
"Chinese","SEN with a statement or EHC plan","13","!","!"
"Mixed","All SEN","6","5","8"
"Mixed","No identified SEN","31","26","35"
"Mixed","SEN Support","7","6","9"
"Mixed","SEN with a statement or EHC plan","2","2","4"
"White","All SEN","5","4","7"
"White","No identified SEN","27","22","32"
"White","SEN Support","6","4","8"
"White","SEN with a statement or EHC plan","2","2","2"
