"Title","NHS trust board membership by ethnicity and trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES) data reporting"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","NHS trust board","Headcount","%"
"White","2Gether NHS Foundation Trust","14","100%"
"White","Aintree University Hospital NHS Foundation Trust","12","100%"
"White","Airedale NHS Foundation Trust","13","93%"
"White","Alder Hey Children's NHS Foundation Trust","12","92%"
"White","Ashford and St Peter's Hospitals NHS Foundation Trust","14","93%"
"White","Avon and Wiltshire Mental Health Partnership NHS Trust","9","69%"
"White","Barking, Havering and Redbridge University Hospitals NHS Trust","9","69%"
"White","Barnet, Enfield and Haringey Mental Health NHS Trust","12","86%"
"White","Barnsley Hospital NHS Foundation Trust","13","100%"
"White","Barts Health NHS Trust","14","78%"
"White","Basildon and Thurrock University Hospitals NHS Foundation Trust","13","93%"
"White","Bedford Hospital NHS Trust","10","77%"
"White","Berkshire Healthcare NHS Foundation Trust","11","85%"
"White","Birmingham and Solihull Mental Health NHS Foundation Trust","7","54%"
"White","Birmingham Community Healthcare NHS Foundation Trust","10","83%"
"White","Birmingham Women's and Children's NHS Foundation Trust","14","88%"
"White","Black Country Partnership NHS Foundation Trust","4","40%"
"White","Blackpool Teaching Hospitals NHS Foundation Trust","9","64%"
"White","Bolton NHS Foundation Trust","14","100%"
"White","Bradford District Care NHS Foundation Trust","8","67%"
"White","Bradford Teaching Hospitals NHS Foundation Trust","13","81%"
"White","Bridgewater Community Healthcare NHS Foundation Trust","12","100%"
"White","Brighton and Sussex University Hospitals NHS Trust","10","100%"
"White","Buckinghamshire Healthcare NHS Trust","11","79%"
"White","Burton Hospitals NHS Foundation Trust","12","80%"
"White","Calderdale and Huddersfield NHS Foundation Trust","16","94%"
"White","Cambridge University Hospitals NHS Foundation Trust","13","93%"
"White","Cambridgeshire and Peterborough NHS Foundation Trust","-","-"
"White","Cambridgeshire Community Services NHS Trust","8","80%"
"White","Camden and Islington NHS Foundation Trust","10","83%"
"White","Central and North West London NHS Foundation Trust","17","89%"
"White","Central London Community Healthcare NHS Trust","9","90%"
"White","Central Manchester University Hospitals NHS Foundation Trust","13","81%"
"White","Chelsea and Westminster Hospital NHS Foundation Trust","14","88%"
"White","Cheshire and Wirral Partnership NHS Foundation Trust","12","92%"
"White","Chesterfield Royal Hospital NHS Foundation Trust","10","71%"
"White","City Hospitals Sunderland NHS Foundation Trust","11","100%"
"White","Colchester Hospital University NHS Foundation Trust","18","95%"
"White","Cornwall Partnership NHS Foundation Trust","17","100%"
"White","Countess Of Chester Hospital NHS Foundation Trust","12","100%"
"White","County Durham and Darlington NHS Foundation Trust","11","100%"
"White","Coventry and Warwickshire Partnership NHS Trust","11","79%"
"White","Croydon Health Services NHS Trust","11","73%"
"White","Cumbria Partnership NHS Foundation Trust","12","80%"
"White","Dartford and Gravesham NHS Trust","10","77%"
"White","Derby Teaching Hospitals NHS Foundation Trust","13","100%"
"White","Derbyshire Community Health Services NHS Foundation Trust","11","92%"
"White","Derbyshire Healthcare NHS Foundation Trust","12","92%"
"White","Devon Partnership NHS Trust","13","93%"
"White","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","13","81%"
"White","Dorset County Hospital NHS Foundation Trust","14","88%"
"White","Dorset Healthcare University NHS Foundation Trust","-","-"
"White","Dudley and Walsall Mental Health Partnership NHS Trust","9","75%"
"White","East and North Hertfordshire NHS Trust","13","100%"
"White","East Cheshire NHS Trust","12","100%"
"White","East Kent Hospitals University NHS Foundation Trust","11","79%"
"White","East Lancashire Hospitals NHS Trust","16","94%"
"White","East London NHS Foundation Trust","9","60%"
"White","East Midlands Ambulance Service NHS Trust","12","92%"
"White","East Of England Ambulance Service NHS Trust","9","64%"
"White","East Sussex Healthcare NHS Trust","11","85%"
"White","Epsom and St Helier University Hospitals NHS Trust","14","88%"
"White","Frimley Health NHS Foundation Trust","9","64%"
"White","Gateshead Health NHS Foundation Trust","17","100%"
"White","George Eliot Hospital NHS Trust","13","87%"
"White","Gloucestershire Care Services NHS Trust","12","100%"
"White","Gloucestershire Hospitals NHS Foundation Trust","11","92%"
"White","Great Ormond Street Hospital For Children NHS Foundation Trust","10","83%"
"White","Great Western Hospitals NHS Foundation Trust","8","67%"
"White","Greater Manchester Mental Health NHS Foundation Trust","12","86%"
"White","Guy's and St Thomas' NHS Foundation Trust","11","79%"
"White","Hampshire Hospitals NHS Foundation Trust","12","100%"
"White","Harrogate and District NHS Foundation Trust","11","92%"
"White","Heart Of England NHS Foundation Trust","12","86%"
"White","Hertfordshire Community NHS Trust","11","85%"
"White","Hertfordshire Partnership University NHS Foundation Trust","13","81%"
"White","Hinchingbrooke Health Care NHS Trust","9","100%"
"White","Homerton University Hospital NHS Foundation Trust","13","100%"
"White","Hounslow and Richmond Community Healthcare NHS Trust","8","67%"
"White","Hull and East Yorkshire Hospitals NHS Trust","12","100%"
"White","Humber NHS Foundation Trust","7","54%"
"White","Imperial College Healthcare NHS Trust","11","85%"
"White","Ipswich Hospital NHS Trust","16","100%"
"White","Isle Of Wight NHS Trust","9","100%"
"White","James Paget University Hospitals NHS Foundation Trust","14","93%"
"White","Kent and Medway NHS and Social Care Partnership Trust","5","83%"
"White","Kent Community Health NHS Foundation Trust","11","73%"
"White","Kettering General Hospital NHS Foundation Trust","13","100%"
"White","King's College Hospital NHS Foundation Trust","16","100%"
"White","Kingston Hospital NHS Foundation Trust","14","93%"
"White","Lancashire Care NHS Foundation Trust","13","100%"
"White","Lancashire Teaching Hospitals NHS Foundation Trust","-","-"
"White","Leeds and York Partnership NHS Foundation Trust","12","92%"
"White","Leeds Community Healthcare NHS Trust","7","58%"
"White","Leeds Teaching Hospitals NHS Trust","13","100%"
"White","Leicestershire Partnership NHS Trust","13","93%"
"White","Lewisham and Greenwich NHS Trust","13","93%"
"White","Lincolnshire Community Health Services NHS Trust","12","100%"
"White","Lincolnshire Partnership NHS Foundation Trust","10","83%"
"White","Liverpool Community Health NHS Trust","9","90%"
"White","Liverpool Heart and Chest Hospital NHS Foundation Trust","11","85%"
"White","Liverpool Women's NHS Foundation Trust","10","91%"
"White","London Ambulance Service NHS Trust","17","100%"
"White","London North West Healthcare NHS Trust","15","88%"
"White","Luton and Dunstable University Hospital NHS Foundation Trust","18","95%"
"White","Maidstone and Tunbridge Wells NHS Trust","10","91%"
"White","Medway NHS Foundation Trust","18","100%"
"White","Mersey Care NHS Foundation Trust","17","100%"
"White","Mid Cheshire Hospitals NHS Foundation Trust","13","100%"
"White","Mid Essex Hospital Services NHS Trust","10","77%"
"White","Mid Yorkshire Hospitals NHS Trust","21","91%"
"White","Milton Keynes University Hospital NHS Foundation Trust","-","-"
"White","Moorfields Eye Hospital NHS Foundation Trust","14","88%"
"White","Norfolk and Norwich University Hospitals NHS Foundation Trust","14","100%"
"White","Norfolk and Suffolk NHS Foundation Trust","13","100%"
"White","Norfolk Community Health and Care NHS Trust","10","77%"
"White","North Bristol NHS Trust","-","-"
"White","North Cumbria University Hospitals NHS Trust","11","100%"
"White","North East Ambulance Service NHS Foundation Trust","12","92%"
"White","North East London NHS Foundation Trust","14","82%"
"White","North Essex Partnership University NHS Foundation Trust","12","100%"
"White","North Middlesex University Hospital NHS Trust","10","77%"
"White","North Staffordshire Combined Healthcare NHS Trust","12","92%"
"White","North Tees and Hartlepool NHS Foundation Trust","13","93%"
"White","North West Ambulance Service NHS Trust","12","86%"
"White","North West Anglia NHS Foundation Trust","11","85%"
"White","North West Boroughs Healthcare NHS Foundation Trust","11","100%"
"White","Northampton General Hospital NHS Trust","13","81%"
"White","Northamptonshire Healthcare NHS Foundation Trust","6","50%"
"White","Northern Devon Healthcare NHS Trust","12","86%"
"White","Northern Lincolnshire and Goole NHS Foundation Trust","14","93%"
"White","Northumberland, Tyne and Wear NHS Foundation Trust","13","93%"
"White","Northumbria Healthcare NHS Foundation Trust","18","95%"
"White","Nottingham University Hospitals NHS Trust","11","92%"
"White","Nottinghamshire Healthcare NHS Foundation Trust","15","94%"
"White","Oxford Health NHS Foundation Trust","13","100%"
"White","Oxford University Hospitals NHS Foundation Trust","13","87%"
"White","Oxleas NHS Foundation Trust","10","71%"
"White","Papworth Hospital NHS Foundation Trust","-","-"
"White","Pennine Acute Hospitals NHS Trust","10","100%"
"White","Pennine Care NHS Foundation Trust","14","100%"
"White","Plymouth Hospitals NHS Trust","11","65%"
"White","Poole Hospital NHS Foundation Trust","-","-"
"White","Portsmouth Hospitals NHS Trust","13","100%"
"White","Queen Victoria Hospital NHS Foundation Trust","9","90%"
"White","Rotherham Doncaster and South Humber NHS Foundation Trust","13","87%"
"White","Royal Berkshire NHS Foundation Trust","11","100%"
"White","Royal Brompton & Harefield NHS Foundation Trust","7","50%"
"White","Royal Cornwall Hospitals NHS Trust","16","100%"
"White","Royal Devon and Exeter NHS Foundation Trust","12","100%"
"White","Royal Free London NHS Foundation Trust","13","87%"
"White","Royal Liverpool and Broadgreen University Hospitals NHS Trust","-","-"
"White","Royal National Orthopaedic Hospital NHS Trust","16","80%"
"White","Royal Surrey County Hospital NHS Foundation Trust","9","100%"
"White","Royal United Hospitals Bath NHS Foundation Trust","13","100%"
"White","Salford Royal NHS Foundation Trust","16","94%"
"White","Salisbury NHS Foundation Trust","13","100%"
"White","Sandwell and West Birmingham Hospitals NHS Trust","11","79%"
"White","Sheffield Children's NHS Foundation Trust","10","91%"
"White","Sheffield Health & Social Care NHS Foundation Trust","9","90%"
"White","Sheffield Teaching Hospitals NHS Foundation Trust","14","100%"
"White","Sherwood Forest Hospitals NHS Foundation Trust","10","83%"
"White","Shrewsbury and Telford Hospital NHS Trust","13","87%"
"White","Shropshire Community Health NHS Trust","10","91%"
"White","Solent NHS Trust","10","83%"
"White","Somerset Partnership NHS Foundation Trust","13","87%"
"White","South Central Ambulance Service NHS Foundation Trust","12","86%"
"White","South East Coast Ambulance Service NHS Foundation Trust","9","69%"
"White","South Essex Partnership University NHS Foundation Trust","11","85%"
"White","South London and Maudsley NHS Foundation Trust","11","92%"
"White","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","10","91%"
"White","South Tees Hospitals NHS Foundation Trust","15","94%"
"White","South Tyneside NHS Foundation Trust","12","92%"
"White","South Warwickshire NHS Foundation Trust","11","69%"
"White","South West London and St George's Mental Health NHS Trust","-","-"
"White","South West Yorkshire Partnership NHS Foundation Trust","16","94%"
"White","South Western Ambulance Service NHS Foundation Trust","12","86%"
"White","Southend University Hospital NHS Foundation Trust","14","100%"
"White","Southern Health NHS Foundation Trust","13","93%"
"White","Southport and Ormskirk Hospital NHS Trust","8","67%"
"White","St George's University Hospitals NHS Foundation Trust","18","95%"
"White","St Helens and Knowsley Hospital Services NHS Trust","12","86%"
"White","Staffordshire and Stoke On Trent Partnership NHS Trust","14","100%"
"White","Stockport NHS Foundation Trust","13","93%"
"White","Surrey and Borders Partnership NHS Foundation Trust","19","86%"
"White","Surrey and Sussex Healthcare NHS Trust","15","94%"
"White","Sussex Community NHS Foundation Trust","12","100%"
"White","Sussex Partnership NHS Foundation Trust","12","86%"
"White","Tameside and Glossop Integrated Care NHS Foundation Trust","13","93%"
"White","Taunton and Somerset NHS Foundation Trust","13","100%"
"White","Tavistock and Portman NHS Foundation Trust","13","93%"
"White","Tees, Esk and Wear Valleys NHS Foundation Trust","-","-"
"White","The Christie NHS Foundation Trust","12","92%"
"White","The Clatterbridge Cancer Centre NHS Foundation Trust","11","100%"
"White","The Dudley Group NHS Foundation Trust","12","80%"
"White","The Hillingdon Hospitals NHS Foundation Trust","11","79%"
"White","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","10","83%"
"White","The Princess Alexandra Hospital NHS Trust","13","100%"
"White","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","12","100%"
"White","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","11","100%"
"White","The Rotherham NHS Foundation Trust","11","58%"
"White","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","15","100%"
"White","The Royal Marsden NHS Foundation Trust","12","100%"
"White","The Royal Orthopaedic Hospital NHS Foundation Trust","11","100%"
"White","The Royal Wolverhampton NHS Trust","15","88%"
"White","The Walton Centre NHS Foundation Trust","12","100%"
"White","The Whittington Hospital NHS Trust","8","53%"
"White","Torbay and South Devon NHS Foundation Trust","15","100%"
"White","United Lincolnshire Hospitals NHS Trust","17","100%"
"White","University College London Hospitals NHS Foundation Trust","15","94%"
"White","University Hospital Of South Manchester NHS Foundation Trust","7","47%"
"White","University Hospital Southampton NHS Foundation Trust","13","93%"
"White","University Hospitals Birmingham NHS Foundation Trust","16","94%"
"White","University Hospitals Bristol NHS Foundation Trust","15","94%"
