"Title","NHS trust board membership by ethnicity and trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES) data reporting"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","White","","Other","","Unknown",""
"NHS trust board","Headcount","%","Headcount","%","Headcount","%"
"2Gether NHS Foundation Trust","14","100%","0","0%","0","0%"
"Aintree University Hospital NHS Foundation Trust","12","100%","0","0%","0","0%"
"Airedale NHS Foundation Trust","13","93%","1","7%","0","0%"
"Alder Hey Children's NHS Foundation Trust","12","92%","1","8%","0","0%"
"Ashford and St Peter's Hospitals NHS Foundation Trust","14","93%","1","7%","0","0%"
"Avon and Wiltshire Mental Health Partnership NHS Trust","9","69%","0","0%","4","31%"
"Barking, Havering and Redbridge University Hospitals NHS Trust","9","69%","3","23%","1","8%"
"Barnet, Enfield and Haringey Mental Health NHS Trust","12","86%","2","14%","0","0%"
"Barnsley Hospital NHS Foundation Trust","13","100%","0","0%","0","0%"
"Barts Health NHS Trust","14","78%","4","22%","0","0%"
"Basildon and Thurrock University Hospitals NHS Foundation Trust","13","93%","1","7%","0","0%"
"Bedford Hospital NHS Trust","10","77%","0","0%","3","23%"
"Berkshire Healthcare NHS Foundation Trust","11","85%","2","15%","0","0%"
"Birmingham and Solihull Mental Health NHS Foundation Trust","7","54%","3","23%","3","23%"
"Birmingham Community Healthcare NHS Foundation Trust","10","83%","2","17%","0","0%"
"Birmingham Women's and Children's NHS Foundation Trust","14","88%","2","13%","0","0%"
"Black Country Partnership NHS Foundation Trust","4","40%","4","40%","2","20%"
"Blackpool Teaching Hospitals NHS Foundation Trust","9","64%","0","0%","5","36%"
"Bolton NHS Foundation Trust","14","100%","0","0%","0","0%"
"Bradford District Care NHS Foundation Trust","8","67%","1","8%","3","25%"
"Bradford Teaching Hospitals NHS Foundation Trust","13","81%","3","19%","0","0%"
"Bridgewater Community Healthcare NHS Foundation Trust","12","100%","0","0%","0","0%"
"Brighton and Sussex University Hospitals NHS Trust","10","100%","0","0%","0","0%"
"Buckinghamshire Healthcare NHS Trust","11","79%","2","14%","1","7%"
"Burton Hospitals NHS Foundation Trust","12","80%","0","0%","3","20%"
"Calderdale and Huddersfield NHS Foundation Trust","16","94%","1","6%","0","0%"
"Cambridge University Hospitals NHS Foundation Trust","13","93%","1","7%","0","0%"
"Cambridgeshire and Peterborough NHS Foundation Trust","-","-","-","-","-","-"
"Cambridgeshire Community Services NHS Trust","8","80%","0","0%","2","20%"
"Camden and Islington NHS Foundation Trust","10","83%","1","8%","1","8%"
"Central and North West London NHS Foundation Trust","17","89%","2","11%","0","0%"
"Central London Community Healthcare NHS Trust","9","90%","1","10%","0","0%"
"Central Manchester University Hospitals NHS Foundation Trust","13","81%","3","19%","0","0%"
"Chelsea and Westminster Hospital NHS Foundation Trust","14","88%","2","13%","0","0%"
"Cheshire and Wirral Partnership NHS Foundation Trust","12","92%","1","8%","0","0%"
"Chesterfield Royal Hospital NHS Foundation Trust","10","71%","0","0%","4","29%"
"City Hospitals Sunderland NHS Foundation Trust","11","100%","0","0%","0","0%"
"Colchester Hospital University NHS Foundation Trust","18","95%","1","5%","0","0%"
"Cornwall Partnership NHS Foundation Trust","17","100%","0","0%","0","0%"
"Countess Of Chester Hospital NHS Foundation Trust","12","100%","0","0%","0","0%"
"County Durham and Darlington NHS Foundation Trust","11","100%","0","0%","0","0%"
"Coventry and Warwickshire Partnership NHS Trust","11","79%","3","21%","0","0%"
"Croydon Health Services NHS Trust","11","73%","4","27%","0","0%"
"Cumbria Partnership NHS Foundation Trust","12","80%","0","0%","3","20%"
"Dartford and Gravesham NHS Trust","10","77%","2","15%","1","8%"
"Derby Teaching Hospitals NHS Foundation Trust","13","100%","0","0%","0","0%"
"Derbyshire Community Health Services NHS Foundation Trust","11","92%","1","8%","0","0%"
"Derbyshire Healthcare NHS Foundation Trust","12","92%","1","8%","0","0%"
"Devon Partnership NHS Trust","13","93%","0","0%","1","7%"
"Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","13","81%","1","6%","2","13%"
"Dorset County Hospital NHS Foundation Trust","14","88%","1","6%","1","6%"
"Dorset Healthcare University NHS Foundation Trust","-","-","-","-","-","-"
"Dudley and Walsall Mental Health Partnership NHS Trust","9","75%","3","25%","0","0%"
"East and North Hertfordshire NHS Trust","13","100%","0","0%","0","0%"
"East Cheshire NHS Trust","12","100%","0","0%","0","0%"
