"measure_code","measure","time","time_type","Ethnicity of household reference person","ethnicity_type","agebracket","value","denominator"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","All","9","36,461"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","All","8","29,799"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","All","8","28,130"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","All","8","1,669"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","All","9","407"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","All","20","3,087"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","All","20","1,265"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","All","20","226"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Children","11","8,929"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Children","9","6,701"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Children","9","6,268"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Children","10","433"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Mixed","ONS 2011 5+1","Children","7","137"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Asian","ONS 2011 5+1","Children","28","1,145"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Black","ONS 2011 5+1","Children","26","456"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","Other","ONS 2011 5+1","Children","?","81"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","All","ONS 2011 5+1","Working-age adults","8","20,031"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White","ONS 2011 5+1","Working-age adults","7","16,198"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White British","White ethnicity: detailed","Working-age adults","7","15,262"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2012-2016","Four survey periods","White other","","Working-age adults","6","936"
