"Title","People living on persistent low income after housing costs are paid (AHC)"
"Location","United Kingdom"
"Time period","2011 to 2015"
"Data source","Understanding Society, Income Dynamics"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"

"Age Bracket","Ethnicity","%"
"All","Asian","22"
"All","Black","25"
"All","Mixed","17"
"All","White British","11"
"All","White other","15"
"All","Other","31"
"Children","Asian","31"
"Children","Black","31"
"Children","Mixed","22"
"Children","White British","15"
"Children","White other","18"
"Children","Other","?"
"Working-age adults","Asian","20"
"Working-age adults","Black","22"
"Working-age adults","Mixed","16"
"Working-age adults","White British","10"
"Working-age adults","White other","14"
"Working-age adults","Other","29"
"Pensioners","Asian","5"
"Pensioners","Black","?"
"Pensioners","Mixed","?"
"Pensioners","White British","8"
"Pensioners","White other","10"
"Pensioners","Other","?"
