"Title","Low income"
"Location","UK"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","9","40,724","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","9","31,044","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","8","1,901","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","10","468","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","18","3,572","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","16","1,484","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","20","272","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","11","10,237","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","10","7,018","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","8","528","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","11","164","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","25","1,330","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","20","568","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","27","105","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","22,489","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","16,996","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","6","1,054","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","10","262","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","2,029","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","781","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","141","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","7,997","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","7,030","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","319","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","14","213","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","9","134","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2011-2015","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","40,724","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","31,044","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","15","1,901","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","20","468","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2011-2015","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","29","3,572","","","",""
