"Title","Income distribution before housing costs (BHC) by ethnicity"
"Location","UK"
"Time period","2013/14, 2014/15 and 2015/16 (3-year average)"
"Data source","Households Below Average Income: 1994/95 to 2015/16"
"Data source link","https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Income Quintile Disitribution","Ethnicity","%"
"Percentage of individuals in bottom income quintile","Asian","33"
"Percentage of individuals in bottom income quintile","Black","29"
"Percentage of individuals in bottom income quintile","Mixed","23"
"Percentage of individuals in bottom income quintile","White British","18"
"Percentage of individuals in bottom income quintile","White Other","20"
"Percentage of individuals in bottom income quintile","Other","30"
"Percentage of individuals in second income quintile","Asian","21"
"Percentage of individuals in second income quintile","Black","25"
"Percentage of individuals in second income quintile","Mixed","14"
"Percentage of individuals in second income quintile","White British","20"
"Percentage of individuals in second income quintile","White Other","19"
"Percentage of individuals in second income quintile","Other","22"
"Percentage of individuals in third income quintile","Asian","16"
"Percentage of individuals in third income quintile","Black","21"
"Percentage of individuals in third income quintile","Mixed","23"
"Percentage of individuals in third income quintile","White British","20"
"Percentage of individuals in third income quintile","White Other","18"
"Percentage of individuals in third income quintile","Other","17"
"Percentage of individuals in fourth income quintile","Asian","15"
"Percentage of individuals in fourth income quintile","Black","17"
"Percentage of individuals in fourth income quintile","Mixed","20"
"Percentage of individuals in fourth income quintile","White British","21"
"Percentage of individuals in fourth income quintile","White Other","20"
"Percentage of individuals in fourth income quintile","Other","15"
"Percentage of individuals in top income quintile","Asian","15"
"Percentage of individuals in top income quintile","Black","8"
"Percentage of individuals in top income quintile","Mixed","19"
"Percentage of individuals in top income quintile","White British","21"
"Percentage of individuals in top income quintile","White Other","24"
"Percentage of individuals in top income quintile","Other","16"
